root_id,shared_t20_verified,helper_predecision_t80_verified,state_hash_t20,action_hash_t20
square:hb3p_stop_continue_formal:800000,True,True,e9f3027ed9016fe6ff6bb3b670f59085440888b715d73155c777140e7304f715,db61a3de54a2de86c08688ea1a4ac09237d94b8fb268b2159d68732737328424
square:hb3p_stop_continue_formal:800001,True,True,16c97b0035b6c9b1a957fdbb7ccb1ff6010451dfc3eae393ce661fb364f2cfe6,8817b93fc0b19160d938d9f094f6cc26d63c183584d15616d90b3dcf715548c5
square:hb3p_stop_continue_formal:800002,True,True,c5e56d2b7e74ead42dfb4c0b1b1bc18380da38077ab1aa1ad755ff0847a20e25,0aedb9689560b0ac00eabab29dcd3705c05dac92aa747a59453ef7782fd051da
square:hb3p_stop_continue_formal:800003,True,True,d4ba10ba7cc2dd28aac3189eff1b07e59191ca8af35e688c01b7ceca6c5e4712,e1a34403f9f3de1636a1bd6ddf2f94cf3cb4bd3206ae8fa209f92deea0222c0f
square:hb3p_stop_continue_formal:800004,True,True,c98c9bf94390a334fc18882bf0f1d26ab1257776090290dfea44f99c22f18970,38affe9d8af6be2480098eefd2a6af0b1f72a00537165d1612e550b346dcae4a
square:hb3p_stop_continue_formal:800005,True,True,ef8761799f641b34bb46022a830214d871248d2b7829c2176096d4b9e331dcda,cbaf3a07db24ea4c871cbbd250405977a3a3d24429ede989e1f0b53df6679c45
square:hb3p_stop_continue_formal:800006,True,True,3df2f1fa3801feb3e72ac57134fd4c1eafa2134a1f1abadc383d300c74079ff7,6b2e53c33f88c68844affd063ac53d6a228e2fcd1cda9fdebd2fdd6374646218
square:hb3p_stop_continue_formal:800007,True,True,2e0a97ca762d8182c3dd6be5520b28922dee641fd264c210db4af211184c6482,99bba6ccfbc4d22ad5aa4e51f9623dbd135b78360d6ada9355bef735871203bc
square:hb3p_stop_continue_formal:800008,True,True,77886dacf598dd008ff1d6ad918b68bdf58910d7c9d0d757dd3e256491903e4c,988fbe3bbbdade9d45240e038cebe9eed73e8be6cd3f20eb647b80613fd067ad
square:hb3p_stop_continue_formal:800009,True,True,939d88971a0719d4151d61b02bd4776d635e7225cc156fbb1b540d8b3886096e,24010413342b1c62b5a036ef1aa75e81364d6c57ad76342760df1537caeb31c9
square:hb3p_stop_continue_formal:800010,True,True,eea3175121e7c28319006fe943155b8c2612743741cd15f6f0d1602e253e3ce8,74ab9058412ce6ef406a71fd75f803a4dca100a02456bbcf83066f817fdfc37a
square:hb3p_stop_continue_formal:800011,True,True,7a47eccc8f31fb6643d4cd50c8f7286a942e5c347e505de83ff222ac52631be4,4ea3ebdb41cd78c93b3915b9cc5ae54cdd1e84923fb3a791b2e9b20f9f45dd17
square:hb3p_stop_continue_formal:800012,True,True,d77a1df739713afe2e2b5e3b1d325f7fcfe4088d6afae28625303d07a3ff9846,182070e6ab32004e06db31f5ad6631b3765b133d35b74ab52e7711fa96a6c89a
square:hb3p_stop_continue_formal:800013,True,True,3caf9aaccb76397596a09ae0c477c042025630d1c30b28148f023c5f6a1d39bf,aecb9fb4710b14bd547c3a07f549470c00d50dbbc52ed123e55fcc539edfa492
