root_id,learned_decision,selected_length,matched_fixed_method,full_trajectory_parity
square:hb3p_stop_continue_formal:800083,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800084,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800085,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800086,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800087,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800088,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800089,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800090,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800091,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800092,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800093,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800094,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800095,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800096,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800097,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800098,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800099,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800100,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800101,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800102,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800103,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800104,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800105,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800106,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800107,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800108,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800109,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800110,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800111,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800112,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800113,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800114,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800115,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800116,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800117,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800118,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800119,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800120,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800121,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800122,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800123,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800124,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800125,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800126,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800127,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800128,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800129,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800130,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800131,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800132,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800133,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800134,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800135,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800136,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800137,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800138,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800139,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800140,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800141,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800142,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800143,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800144,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800145,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800146,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800147,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800148,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800149,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800150,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800151,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800152,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800153,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800154,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800155,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800156,CONTINUE,80,FIXED_L80,True
