seed,selected_candidate,selected_epoch,validation_iou,validation_top1,validation_no_effect_far,test_iou,test_top1,test_mean_abs_delay,test_recovery_retention,test_no_effect_far
0,best_localization,23.0,0.06255969637907642,0.29545454545454547,0.7211538461538461,0.07014578593908122,0.5384615384615384,21.596153846153847,0.45875542691751087,0.7537688442211056
1,best_gate_gap,5.0,0.05201219976029694,0.25,0.7596153846153846,0.056482779740806954,0.34615384615384615,29.01923076923077,0.6599131693198264,0.7688442211055276
2,best_gate_gap,3.0,0.05125342750826409,0.13636363636363635,0.7403846153846154,0.06037067395431048,0.23076923076923078,40.36538461538461,0.6801736613603473,0.7386934673366834
full_mean,NA,10.333333333333334,0.05527510788254581,0.22727272727272727,0.7403846153846154,0.062333079878066217,0.3717948717948718,30.326923076923077,0.5996140858658948,0.7537688442211055
full_std,NA,8.993825042154695,0.005160287847620729,0.06690727929036248,0.015701857325533183,0.005747910481251075,0.1269166017514316,7.718097792239482,0.09994496230420644,0.012308993682327535
