method,transition_f1,responsibility_region_iou,mean_abs_localization_delay,top1_within_1,top5_hit,recovery_retention,innocent_downstream_retention,expert_retention,rare_retention,no_effect_false_attribution_rate,test_delete_rate
canonical_responsibility_iter1,0.009219360657380497,0.07014578593908122,21.596153846153847,0.5384615384615384,0.6730769230769231,0.45875542691751087,0.7133768767495122,0.7486033519553073,0.5802919708029197,0.7537688442211056,0.2941420486532934
responsibility_iter1_seed0,0.009219360657380497,0.07014578593908122,21.596153846153847,0.5384615384615384,0.6730769230769231,0.45875542691751087,0.7133768767495122,0.7486033519553073,0.5802919708029197,0.7537688442211056,0.2941420486532934
responsibility_iter1_seed1,0.008011145942180425,0.056482779740806954,29.01923076923077,0.34615384615384615,0.5192307692307693,0.6599131693198264,0.783611841547205,0.6564245810055865,0.6090835360908353,0.7688442211055276,0.3387359625470384
responsibility_iter1_seed2,0.008919632292709565,0.06037067395431048,40.36538461538461,0.23076923076923078,0.5576923076923077,0.6801736613603473,0.7719060140809229,0.6792364990689013,0.6113814544471479,0.7386934673366834,0.32400960028445286
action_only_iter1_seed0,0.008855154965211892,0.08100250874703853,14.288461538461538,0.6153846153846154,0.75,0.5383502170767004,0.735176859784545,0.7122905027932961,0.6427412814274128,0.7587939698492462,0.3263800408901004
old_canonical_responsibility,0.009390589846424728,0.06297828382093663,32.32692307692308,0.38461538461538464,0.6346153846153846,0.6439942112879884,0.720417338196624,0.6941340782122905,0.6670721816707218,0.8592964824120602,0.30137189250051855
future_discount,0.0030388031790556337,0.011985390641535707,56.90384615384615,0.038461538461538464,0.038461538461538464,0.37626628075253254,0.8572397998133854,0.7867783985102421,0.6561232765612328,0.17587939698492464,0.2519778363803372
original_scizor,0.0033097361404799113,0.01076807319998639,59.92307692307692,0.0,0.019230769230769232,0.5412445730824892,0.8374756128594453,0.7034450651769087,0.5072992700729927,0.10552763819095477,0.3207502444516875
uniform,0.0029079521306341577,0.011317208099554376,54.69230769230769,0.038461538461538464,0.07692307692307693,0.3154848046309696,0.8342522690643821,0.7695530726256983,0.6276020546093539,0.1407035175879397,0.26338558179501614
