split,method,pair_auroc,pair_auprc,no_effect_far,effective_recall,top1_within_1,top5_hit,region_iou,mean_abs_delay,recovery_false_attribution,can_auroc,square_auroc,mean_candidates_per_pair
validation,full_top5,0.5481481481481482,0.15236755913726854,0.14222222222222222,0.2962962962962963,0.37037037037037035,,0.12345679012345678,26.444444444444443,0.0,0.65625,0.336283185840708,4.0396825396825395
validation,action_top5,0.6455172413793103,0.20955642146813078,0.16,0.4827586206896552,0.6551724137931034,,0.21839080459770113,10.172413793103448,,0.675,0.5899665551839465,4.173228346456693
validation,union_top5,0.6238796901108917,0.19133311862192118,0.16299559471365638,0.3103448275862069,0.6896551724137931,,0.2298850574712644,12.275862068965518,0.0,0.6936383928571429,0.517056856187291,7.1640625
