split,method_id,source,pair_auroc,pair_auprc,prevalence,no_effect_far,effective_recall,top1_within_1,region_hit,mean_abs_delay,recovery_false_attribution,can_auroc,square_auroc,mean_candidates,selected
development,action_cf_only,action_top5,0.6077776089928604,0.18194603001798637,0.11328125,0.14977973568281938,0.3103448275862069,0.6206896551724138,0.6206896551724138,10.310344827586206,0.0,0.6841517857142857,0.46555183946488293,4.140625,False
development,action_current_fused,action_top5,0.6483366246392223,0.2095091651192542,0.11328125,0.15859030837004406,0.4827586206896552,0.6551724137931034,0.6551724137931034,10.172413793103448,0.0,0.6796875,0.5899665551839465,4.140625,False
development,action_defect_contrast,action_top5,0.5259000455719277,0.13416465540250477,0.11328125,0.19383259911894274,0.3103448275862069,0.41379310344827586,0.41379310344827586,16.724137931034484,0.0,0.4810267857142857,0.6294314381270903,4.140625,False
development,action_defect_gated,action_top5,0.5506607929515418,0.19811467663695764,0.11328125,0.14537444933920704,0.3103448275862069,0.41379310344827586,0.41379310344827586,18.103448275862068,0.0,0.6512276785714286,0.37725752508361204,4.140625,False
development,action_raw,action_top5,0.615069117423667,0.19103753078244493,0.11328125,0.18502202643171806,0.3103448275862069,0.6896551724137931,0.6896551724137931,11.10344827586207,0.0,0.7751116071428571,0.4214046822742475,4.140625,False
development,full_raw,full_top5,0.6615524836700593,0.19117305141734575,0.11328125,0.13215859030837004,0.41379310344827586,0.3448275862068966,0.3448275862068966,34.62068965517241,0.0,0.6545758928571429,0.6668896321070235,3.9765625,False
development,union_defect_contrast,union_top5,0.5301534254898982,0.12144460178440367,0.11328125,0.1894273127753304,0.2413793103448276,0.3793103448275862,0.3793103448275862,22.896551724137932,0.0,0.5407366071428571,0.5618729096989966,7.1640625,False
development,union_raw,union_top5,0.639981771228923,0.17204206318934645,0.11328125,0.13215859030837004,0.3448275862068966,0.6551724137931034,0.6551724137931034,13.724137931034482,0.0,0.7025669642857143,0.5411371237458193,7.1640625,False
development,stage3_v1_action_fused,action_top5,0.6455172413793103,0.20955642146813078,0.1141732283464567,,,,,,,0.675,0.5899665551839465,4.173228346456693,False
development,stage3_v1_counterfactual_only,action_top5,0.6045977011494252,0.18199328636686302,0.1141732283464567,,,,,,,0.6795454545454546,0.46555183946488293,4.173228346456693,False
development,stage3_v1_raw,action_top5,0.6116475095785441,0.19103753078244493,0.1141732283464567,,,,,,,0.7710227272727272,0.4214046822742475,4.173228346456693,False
development,stage3_v1_action_fused,full_top5,0.5481481481481482,0.15236755913726854,0.10714285714285714,,,,,,,0.65625,0.336283185840708,4.0396825396825395,False
development,stage3_v1_counterfactual_only,full_top5,0.5451851851851852,0.14513057363227302,0.10714285714285714,,,,,,,0.6460459183673469,0.3587474472430225,4.0396825396825395,False
development,stage3_v1_raw,full_top5,0.7076543209876544,0.19700641948139544,0.10714285714285714,,,,,,,0.7480867346938775,0.6609938733832539,4.0396825396825395,False
development,stage3_v1_action_fused,union_top5,0.6238796901108917,0.19133311862192118,0.11328125,,,,,,,0.6936383928571429,0.517056856187291,7.1640625,False
development,stage3_v1_counterfactual_only,union_top5,0.5758772596080814,0.16587081180359944,0.11328125,,,,,,,0.6813616071428571,0.4193979933110368,7.1640625,False
development,stage3_v1_raw,union_top5,0.639981771228923,0.17204206318934645,0.11328125,,,,,,,0.7025669642857143,0.5411371237458193,7.1640625,False
