epoch,steps,train_loss,train_regression_loss,train_classification_loss,train_rank_loss,replacement_auroc,replacement_auprc,score_mae,score_spearman,teacher_forced_primary_auroc
0,84,0.25936658591741607,0.025380233025533102,0.432304380550271,0.07133665410358281,0.8246740587674338,0.6457230309891366,0.1875673486656585,0.6166954800159455,0.7449494949494949
1,168,0.17669416201256571,0.015195201694344481,0.2972738038571108,0.05144823295995593,0.8402225148955801,0.6557422900223487,0.17906149479275438,0.6386543718679041,0.696969696969697
2,252,0.15786503885118736,0.01399133653779115,0.26744033946167856,0.04061412979804334,0.8387225291274537,0.6612247113610193,0.16882350080923003,0.6448963845488107,0.7070707070707071
3,336,0.1406848793405862,0.01248921326450294,0.2369659741719564,0.03885071560563076,0.8405533835787093,0.6705879749657271,0.1656005783417078,0.6485983616273749,0.7297979797979798
4,420,0.12989390304400808,0.011944924126423541,0.21788722613737696,0.03602146417168634,0.8284602294321232,0.642030749400669,0.17294204488694875,0.6363579195304413,0.7348484848484849
5,504,0.12716147232623326,0.01141915944338377,0.21484504303052313,0.033279166634504996,0.8327408458172524,0.6630004884873475,0.17460986091033856,0.6285940920815003,0.7348484848484849
6,588,0.11970396809989498,0.011161934434702354,0.20165147153394564,0.030865190317854285,0.8358681433921232,0.6723671672924358,0.16594665978654782,0.6377175644390766,0.6868686868686869
7,672,0.11190534524974369,0.010486569194610985,0.18716146752593063,0.03135216640796335,0.83049749080433,0.6444407841953776,0.1738568098720142,0.6432014438070568,0.7853535353535354
8,756,0.10293705872304383,0.009773256013258583,0.1720607022621802,0.028533804873448042,0.8401125982871985,0.6793095771969775,0.16772971551906635,0.6591546476629613,0.7121212121212122
9,840,0.10070503582911831,0.009806229489012844,0.1678314439597584,0.027932336321100593,0.8325860853808583,0.6535648757579371,0.17475541302631037,0.64971625035293,0.7222222222222222
10,924,0.09797286091461069,0.009504169425261872,0.16410655962924162,0.025661647552624345,0.8277861398737176,0.6543336603596401,0.17051287596632986,0.6408699593246949,0.7525252525252525
11,1008,0.09623529797508604,0.009463666832917147,0.16072933668536799,0.025627852029477555,0.8348204000212672,0.6653276657979271,0.16670823613141988,0.6507120286460387,0.7222222222222222
12,1092,0.09657970824766726,0.009349521543342797,0.16154962503129527,0.025821495524031065,0.8259101730685333,0.6562582743704239,0.17073175666698728,0.6431726520624599,0.7474747474747475
13,1176,0.08895277364977769,0.0089694908265734,0.14814970535891397,0.023633721434245154,0.8314698231470414,0.6568466826515769,0.17342442812374426,0.6396274353309067,0.7171717171717171
14,1260,0.08851477481602203,0.008867431587229172,0.14763039705299197,0.023328579086366864,0.8314953331090844,0.661739967713499,0.16668922567160815,0.643916013772317,0.75
15,1344,0.08117075872030996,0.008593994408978947,0.1336278035083697,0.02305144801114996,0.8279370514386455,0.6624637744989745,0.17004637431223069,0.6462050248168815,0.7222222222222222
16,1428,0.08424981971759171,0.008371076402476146,0.1414112053101971,0.020692561176561174,0.8263738725715635,0.6621238531282957,0.16383121363418415,0.6408235998525116,0.7121212121212122
17,1512,0.08061752388519901,0.008523092372342944,0.13360370181146122,0.021170323747875436,0.8237681865889923,0.6674351556401634,0.16803407504319054,0.6519444834272717,0.7171717171717171
18,1596,0.07859298178837412,0.008351571597380652,0.13026641145171153,0.02043281721749476,0.8233830756707822,0.6566533549353889,0.17292331152399257,0.6433980065392331,0.7474747474747475
19,1680,0.07692829550554355,0.008070194921899764,0.12758812955802395,0.020256142830476165,0.8263065173209062,0.658758454084146,0.1650515878725581,0.6428427269659349,0.7626262626262627
20,1764,0.0753367016358035,0.007989638180117168,0.12472380480418603,0.019940642168789748,0.8209399821304953,0.6521126744092396,0.17125936564229619,0.6308859723630391,0.7676767676767676
