epoch,steps,train_loss,train_regression_loss,train_classification_loss,train_rank_loss,replacement_auroc,replacement_auprc,score_mae,score_spearman,teacher_forced_primary_auroc
0,84,0.28178251286347705,0.02735552994445676,0.4757710755580947,0.0661657876113341,0.833100625790697,0.6502737095241314,0.18131946057301995,0.6042546417556284,0.46464646464646464
1,168,0.20802150347403117,0.01934735445926587,0.3520458285652456,0.05060493952727744,0.8367377645718721,0.6504519055129683,0.16919307957024268,0.6387389384478174,0.6035353535353535
2,252,0.18209009227298556,0.016133817134513742,0.3093233995494388,0.04517830012454873,0.8435629772936275,0.6607541851453345,0.1674238910204531,0.6537574323017886,0.6742424242424242
3,336,0.1763970119257768,0.01574423571028525,0.301345519721508,0.03992007027513215,0.8359029174982765,0.6478881404882104,0.1706881434192701,0.6530781398154107,0.6742424242424242
4,420,0.16090626313927628,0.014394904553358043,0.27393383869812604,0.03817775927572733,0.8176778845456711,0.6021325442944434,0.17424083392264303,0.6271387478766012,0.7272727272727273
5,504,0.1526395267851296,0.01425115613355523,0.25875932741023244,0.0360348284732373,0.8359589946604516,0.6245565819347039,0.17132069038726475,0.647997082632076,0.7095959595959596
6,588,0.1498745155653783,0.013621786653640725,0.25497122499204816,0.03506846650547925,0.8309325027886416,0.6153092512343539,0.17043376261117185,0.6424326646246092,0.7045454545454546
7,672,0.14423653607567152,0.013286657564874207,0.24467403388449124,0.03445144752705736,0.8143131653065232,0.5874890683273338,0.1739784553752626,0.6249025205231716,0.6994949494949495
8,756,0.13679455495661214,0.012556185280638081,0.23169881548909915,0.03355584888985114,0.806070090992692,0.5771562917678952,0.1820397572406891,0.6032616662041848,0.7171717171717171
9,840,0.13228798214168774,0.012135314272849687,0.22417288903324378,0.032264896091960725,0.8155019295377255,0.5893297845218632,0.1749620455183138,0.6216276663372967,0.6868686868686869
10,924,0.13026958766082922,0.012263775481620715,0.22087386827028932,0.03027550856738041,0.8027644922094366,0.5578862679273069,0.18058972879085963,0.6039429854150679,0.6893939393939394
11,1008,0.1275707534736111,0.011808736127845589,0.2168657841781775,0.029316498620790384,0.799718199952632,0.5476732753512304,0.17824373270667926,0.6139982121731707,0.7222222222222222
12,1092,0.12247995908061664,0.011544738752057864,0.20790723072631018,0.02792642169099833,0.8076127723815009,0.5855125405552898,0.176124172038028,0.6116240245100559,0.7222222222222222
13,1176,0.12964022505496228,0.011824643821455538,0.22059760402355874,0.0300671160997202,0.8081249408124126,0.5675823085743719,0.1769551871205235,0.6115509802392193,0.6818181818181818
14,1260,0.12116947787858191,0.011323672785822834,0.2053569643093007,0.02866929401421831,0.8026174742702943,0.5573313530508963,0.1819421345812298,0.6112474238323546,0.7171717171717171
