task,branch_name,anchors,roots,system_success_rate_anchor,system_success_rate_root,system_success_ci95_low,system_success_ci95_high,paired_success_rate_difference_root,paired_difference_ci95_low,paired_difference_ci95_high,genuine_rescue_anchors,genuine_rescue_roots,rescue_fraction_among_baseline_failed_anchors,helper_completed_anchors,helper_completed_fraction,handoff_success_raw_fraction,genuine_handoff_success_fraction,success_seen_under_helper_anchors,success_seen_under_helper_fraction,handoff_failure_fraction,first_success_wait_after_handoff_mean,first_success_wait_after_handoff_median,first_success_wait_after_handoff_p25,first_success_wait_after_handoff_p75,autonomous_execution_steps_mean,autonomous_execution_steps_median,mean_helper_steps_actual,mean_changed_action_steps,mean_helper_steps_on_baseline_success,mean_changed_action_steps_on_baseline_success,repair_calls_after_handoff_total,interference_fraction_among_baseline_success
square,none,120,40,0.05,0.05,0.0,0.125,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0,0.0
square,l5,120,40,0.025,0.025,0.0,0.06666666666666667,-0.025000000000000005,-0.10833333333333334,0.041666666666666664,3,2,0.02631578947368421,0,0.0,0.025,0.025,0,0.0,0.975,137.66666666666666,114.0,103.5,160.0,303.5,315.0,5.0,5.0,5.0,5.0,0,1.0
square,l20,120,40,0.075,0.075,0.025,0.13333333333333333,0.025,-0.075,0.10833333333333332,9,7,0.07894736842105263,0,0.0,0.075,0.075,0,0.0,0.925,119.11111111111111,93.0,71.0,156.0,279.73333333333335,300.0,20.0,20.0,20.0,20.0,0,1.0
square,l80,120,40,0.18333333333333332,0.18333333333333332,0.10833333333333332,0.26666666666666666,0.13333333333333333,0.033333333333333326,0.2333333333333333,15,13,0.13157894736842105,4,0.03333333333333333,0.15,0.14166666666666666,4,0.03333333333333333,0.8448275862068966,87.72222222222223,62.5,43.75,122.5,206.30172413793105,240.0,79.33333333333333,79.33333333333333,80.0,80.0,0,0.6666666666666666
square,full,120,40,0.25,0.25,0.14999999999999997,0.3583333333333333,0.2,0.09145833333333332,0.3083333333333334,0,0,0.0,30,0.25,0.0,0.0,30,0.25,,,,,,,,270.375,270.375,240.83333333333334,240.83333333333334,0,0.5
