task,anchor_t,branch_name,anchors,roots,system_success_rate_anchor,system_success_rate_root,system_success_ci95_low,system_success_ci95_high,paired_success_rate_difference_root,paired_difference_ci95_low,paired_difference_ci95_high,genuine_rescue_anchors,genuine_rescue_roots,rescue_fraction_among_baseline_failed_anchors,helper_completed_anchors,helper_completed_fraction,handoff_success_raw_fraction,genuine_handoff_success_fraction,success_seen_under_helper_anchors,success_seen_under_helper_fraction,handoff_failure_fraction,first_success_wait_after_handoff_mean,first_success_wait_after_handoff_median,first_success_wait_after_handoff_p25,first_success_wait_after_handoff_p75,autonomous_execution_steps_mean,autonomous_execution_steps_median,mean_helper_steps_actual,mean_changed_action_steps,mean_helper_steps_on_baseline_success,mean_changed_action_steps_on_baseline_success,repair_calls_after_handoff_total,interference_fraction_among_baseline_success
square,20,none,40,40,0.05,0.05,0.0,0.125,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0,0.0
square,20,l5,40,40,0.025,0.025,0.0,0.075,-0.025,-0.1,0.05,1,1,0.02631578947368421,0,0.0,0.025,0.025,0,0.0,0.975,93.0,93.0,93.0,93.0,368.05,375.0,5.0,5.0,5.0,5.0,0,1.0
square,20,l20,40,40,0.05,0.05,0.0,0.125,0.0,-0.1,0.09999999999999999,2,2,0.05263157894736842,0,0.0,0.05,0.05,0,0.0,0.95,68.5,68.5,65.75,71.25,345.625,360.0,20.0,20.0,20.0,20.0,0,1.0
square,20,l80,40,40,0.25,0.25,0.125,0.4,0.2,0.04999999999999999,0.35062499999999946,10,10,0.2631578947368421,0,0.0,0.25,0.25,0,0.0,0.75,98.4,84.0,46.0,134.75,250.6,300.0,80.0,80.0,80.0,80.0,0,1.0
square,20,full,40,40,0.3,0.3,0.15,0.45,0.25,0.07500000000000001,0.425,0,0,0.0,12,0.3,0.0,0.0,12,0.3,,,,,,,,317.125,317.125,380.0,380.0,0,1.0
square,80,none,40,40,0.05,0.05,0.0,0.125,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0,0.0
square,80,l5,40,40,0.05,0.05,0.0,0.125,0.0,-0.1,0.1,2,2,0.05263157894736842,0,0.0,0.05,0.05,0,0.0,0.95,160.0,160.0,137.0,183.0,307.45,315.0,5.0,5.0,5.0,5.0,0,1.0
square,80,l20,40,40,0.15,0.15,0.05,0.25,0.1,-0.02500000000000001,0.25,6,6,0.15789473684210525,0,0.0,0.15,0.15,0,0.0,0.85,137.5,124.5,76.5,204.0,276.225,300.0,20.0,20.0,20.0,20.0,0,1.0
square,80,l80,40,40,0.25,0.25,0.125,0.4,0.2,0.07437500000000002,0.35,4,4,0.10526315789473684,4,0.1,0.15,0.125,4,0.1,0.8333333333333334,71.16666666666667,49.5,36.25,59.75,212.52777777777777,240.0,78.0,78.0,80.0,80.0,0,0.5
square,80,full,40,40,0.325,0.325,0.2,0.475,0.275,0.15000000000000002,0.425,0,0,0.0,13,0.325,0.0,0.0,13,0.325,,,,,,,,263.925,263.925,160.0,160.0,0,0.0
square,160,none,40,40,0.05,0.05,0.0,0.125,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0,0.0
square,160,l5,40,40,0.0,0.0,0.0,0.0,-0.05,-0.125,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,,,,,235.0,235.0,5.0,5.0,5.0,5.0,0,1.0
square,160,l20,40,40,0.025,0.025,0.0,0.075,-0.025,-0.1,0.05,1,1,0.02631578947368421,0,0.0,0.025,0.025,0,0.0,0.975,110.0,110.0,110.0,110.0,217.35,220.0,20.0,20.0,20.0,20.0,0,1.0
square,160,l80,40,40,0.05,0.05,0.0,0.125,0.0,-0.075,0.075,1,1,0.02631578947368421,0,0.0,0.05,0.05,0,0.0,0.95,84.0,84.0,73.0,95.0,156.4,160.0,80.0,80.0,80.0,80.0,0,0.5
square,160,full,40,40,0.125,0.125,0.025,0.225,0.075,-0.025,0.17500000000000002,0,0,0.0,5,0.125,0.0,0.0,5,0.125,,,,,,,,230.075,230.075,182.5,182.5,0,0.5
