method_id,source,pair_auroc,pair_auprc,prevalence,no_effect_far,effective_recall,top1_within_1,region_hit,mean_abs_delay,recovery_false_attribution,can_auroc,square_auroc,mean_candidates,missing_candidate_pairs,proposal_region_recall,threshold,eligible,failed_rules
action_cf_only,action_top5,0.6077776089928604,0.18194603001798637,0.11328125,0.14977973568281938,0.3103448275862069,0.6206896551724138,0.6206896551724138,10.310344827586206,0,0.6841517857142857,0.46555183946488293,4.140625,2,0.896551724137931,0.7623428790124918,False,"['pair_auroc', 'effective_recall', 'square_auroc', 'eligible_method']"
action_current_fused,action_top5,0.6483366246392223,0.2095091651192542,0.11328125,0.15859030837004406,0.4827586206896552,0.6551724137931034,0.6551724137931034,10.172413793103448,0,0.6796875,0.5899665551839465,4.140625,2,0.896551724137931,0.6443105692212364,False,"['pair_auroc', 'square_auroc', 'eligible_method']"
action_defect_contrast,action_top5,0.5259000455719277,0.13416465540250477,0.11328125,0.19383259911894274,0.3103448275862069,0.41379310344827586,0.41379310344827586,16.724137931034484,0,0.4810267857142857,0.6294314381270903,4.140625,2,0.896551724137931,0.005291349276844453,False,"['pair_auroc', 'effective_recall', 'can_auroc', 'eligible_method']"
action_defect_gated,action_top5,0.5506607929515418,0.19811467663695764,0.11328125,0.14537444933920704,0.3103448275862069,0.41379310344827586,0.41379310344827586,18.103448275862068,0,0.6512276785714286,0.37725752508361204,4.140625,2,0.896551724137931,0.023838156939692594,False,"['pair_auroc', 'effective_recall', 'square_auroc', 'eligible_method']"
action_raw,action_top5,0.615069117423667,0.19103753078244493,0.11328125,0.18502202643171806,0.3103448275862069,0.6896551724137931,0.6896551724137931,11.10344827586207,0,0.7751116071428571,0.4214046822742475,4.140625,2,0.896551724137931,0.999971299955414,False,"['pair_auroc', 'effective_recall', 'square_auroc', 'eligible_method']"
full_raw,full_top5,0.6615524836700593,0.19117305141734575,0.11328125,0.13215859030837004,0.41379310344827586,0.3448275862068966,0.3448275862068966,34.62068965517241,0,0.6545758928571429,0.6668896321070235,3.9765625,4,0.4827586206896552,0.9928900823108995,False,"['proposal_region_recall', 'pair_auroc', 'eligible_method']"
union_defect_contrast,union_top5,0.5301534254898982,0.12144460178440367,0.11328125,0.1894273127753304,0.2413793103448276,0.3793103448275862,0.3793103448275862,22.896551724137932,0,0.5407366071428571,0.5618729096989966,7.1640625,0,0.9310344827586207,0.008647692062647733,False,"['pair_auroc', 'effective_recall', 'can_auroc', 'square_auroc', 'eligible_method']"
union_raw,union_top5,0.639981771228923,0.17204206318934645,0.11328125,0.13215859030837004,0.3448275862068966,0.6551724137931034,0.6551724137931034,13.724137931034482,0,0.7025669642857143,0.5411371237458193,7.1640625,0,0.9310344827586207,0.9999996950785638,False,"['pair_auroc', 'effective_recall', 'square_auroc', 'eligible_method']"
