task,method,auroc,auprc,score_mae,score_spearman,n,positive,prevalence
all,full,0.7520887133525748,0.24538740830923372,0.15669967104573201,0.7898920980642873,,,
all,action_only,0.7291508430806624,0.24292183401140655,,,256.0,29.0,0.11328125
