stat_group_id,comparison,left_method,right_method,autonomous_case,system_case,utility_delta
square:hb3p_exit_probe:600000,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.025000000000000022
square:hb3p_exit_probe:600001,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600002,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600003,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600004,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600005,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.975
square:hb3p_exit_probe:600006,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600007,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.025000000000000022
square:hb3p_exit_probe:600008,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_success_continue_failure,stop_success_continue_failure,1.025
square:hb3p_exit_probe:600009,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600010,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600011,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600012,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600013,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600014,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600015,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600016,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.975
square:hb3p_exit_probe:600017,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600018,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600019,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.025000000000000022
square:hb3p_exit_probe:600020,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600021,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.975
square:hb3p_exit_probe:600022,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.025000000000000022
square:hb3p_exit_probe:600023,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600024,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600025,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.975
square:hb3p_exit_probe:600026,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600027,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.975
square:hb3p_exit_probe:600028,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600029,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600030,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600031,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.975
square:hb3p_exit_probe:600032,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600033,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600034,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600035,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600036,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.975
square:hb3p_exit_probe:600037,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600038,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600039,FIXED_L40_minus_FIXED_L80,FIXED_L40,FIXED_L80,both_failure,both_failure,0.025
square:hb3p_exit_probe:600000,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.012500000000000067
square:hb3p_exit_probe:600001,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600002,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600003,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600004,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600005,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.9874999999999999
square:hb3p_exit_probe:600006,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600007,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.012500000000000067
square:hb3p_exit_probe:600008,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600009,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_failure,stop_success_continue_failure,1.0125
square:hb3p_exit_probe:600010,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600011,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600012,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600013,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600014,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600015,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600016,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.012500000000000067
square:hb3p_exit_probe:600017,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600018,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600019,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.9874999999999999
square:hb3p_exit_probe:600020,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600021,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.012500000000000067
square:hb3p_exit_probe:600022,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.012500000000000067
square:hb3p_exit_probe:600023,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_failure,stop_success_continue_failure,1.0125
square:hb3p_exit_probe:600024,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600025,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.9874999999999999
square:hb3p_exit_probe:600026,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600027,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.9874999999999999
square:hb3p_exit_probe:600028,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600029,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600030,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600031,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_failure_continue_success,stop_failure_continue_success,-0.9874999999999999
square:hb3p_exit_probe:600032,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600033,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600034,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_failure,stop_success_continue_failure,1.0125
square:hb3p_exit_probe:600035,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600036,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_success,stop_success_continue_success,0.012500000000000067
square:hb3p_exit_probe:600037,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600038,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,both_failure,both_failure,0.012500000000000004
square:hb3p_exit_probe:600039,FIXED_L60_minus_FIXED_L80,FIXED_L60,FIXED_L80,stop_success_continue_failure,stop_success_continue_failure,1.0125
square:hb3p_exit_probe:600000,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,stop_success_continue_success,stop_success_continue_success,0.012499999999999956
square:hb3p_exit_probe:600001,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600002,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600003,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600004,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600005,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600006,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600007,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,stop_success_continue_success,stop_success_continue_success,0.012499999999999956
square:hb3p_exit_probe:600008,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,stop_success_continue_failure,stop_success_continue_failure,1.0125
square:hb3p_exit_probe:600009,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,stop_failure_continue_success,stop_failure_continue_success,-0.9875
square:hb3p_exit_probe:600010,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600011,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600012,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600013,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600014,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600015,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600016,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,stop_failure_continue_success,stop_failure_continue_success,-0.9875
square:hb3p_exit_probe:600017,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600018,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600019,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,stop_success_continue_failure,stop_success_continue_failure,1.0125
square:hb3p_exit_probe:600020,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
square:hb3p_exit_probe:600021,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,stop_failure_continue_success,stop_failure_continue_success,-0.9875
square:hb3p_exit_probe:600022,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,stop_success_continue_success,stop_success_continue_success,0.012499999999999956
square:hb3p_exit_probe:600023,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,stop_failure_continue_success,stop_failure_continue_success,-0.9875
square:hb3p_exit_probe:600024,FIXED_L40_minus_FIXED_L60,FIXED_L40,FIXED_L60,both_failure,both_failure,0.012499999999999997
