stat_group_id,prefix_verified,none_prefix_state_count,fixed_l40_prefix_state_count,fixed_l60_prefix_state_count,fixed_l80_prefix_state_count
square:hb3p_exit_probe:600000,True,21,21,21,21
square:hb3p_exit_probe:600001,True,21,21,21,21
square:hb3p_exit_probe:600002,True,21,21,21,21
square:hb3p_exit_probe:600003,True,21,21,21,21
square:hb3p_exit_probe:600004,True,21,21,21,21
square:hb3p_exit_probe:600005,True,21,21,21,21
square:hb3p_exit_probe:600006,True,21,21,21,21
square:hb3p_exit_probe:600007,True,21,21,21,21
square:hb3p_exit_probe:600008,True,21,21,21,21
square:hb3p_exit_probe:600009,True,21,21,21,21
square:hb3p_exit_probe:600010,True,21,21,21,21
square:hb3p_exit_probe:600011,True,21,21,21,21
square:hb3p_exit_probe:600012,True,21,21,21,21
square:hb3p_exit_probe:600013,True,21,21,21,21
square:hb3p_exit_probe:600014,True,21,21,21,21
square:hb3p_exit_probe:600015,True,21,21,21,21
square:hb3p_exit_probe:600016,True,21,21,21,21
square:hb3p_exit_probe:600017,True,21,21,21,21
square:hb3p_exit_probe:600018,True,21,21,21,21
square:hb3p_exit_probe:600019,True,21,21,21,21
square:hb3p_exit_probe:600020,True,21,21,21,21
square:hb3p_exit_probe:600021,True,21,21,21,21
square:hb3p_exit_probe:600022,True,21,21,21,21
square:hb3p_exit_probe:600023,True,21,21,21,21
square:hb3p_exit_probe:600024,True,21,21,21,21
square:hb3p_exit_probe:600025,True,21,21,21,21
square:hb3p_exit_probe:600026,True,21,21,21,21
square:hb3p_exit_probe:600027,True,21,21,21,21
square:hb3p_exit_probe:600028,True,21,21,21,21
square:hb3p_exit_probe:600029,True,21,21,21,21
square:hb3p_exit_probe:600030,True,21,21,21,21
square:hb3p_exit_probe:600031,True,21,21,21,21
square:hb3p_exit_probe:600032,True,21,21,21,21
square:hb3p_exit_probe:600033,True,21,21,21,21
square:hb3p_exit_probe:600034,True,21,21,21,21
square:hb3p_exit_probe:600035,True,21,21,21,21
square:hb3p_exit_probe:600036,True,21,21,21,21
square:hb3p_exit_probe:600037,True,21,21,21,21
square:hb3p_exit_probe:600038,True,21,21,21,21
square:hb3p_exit_probe:600039,True,21,21,21,21
