stat_group_id,oracle_method,oracle_utility,fixed_l80_utility,oracle_minus_fixed_l80_utility,oracle_component
square:hb3p_exit_probe:600000,FIXED_L40,0.975,0.95,0.025000000000000022,success_with_lower_cost
square:hb3p_exit_probe:600001,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600002,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600003,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600004,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600005,FIXED_L80,0.95,0.95,0.0,no_gain
square:hb3p_exit_probe:600006,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600007,FIXED_L40,0.975,0.95,0.025000000000000022,success_with_lower_cost
square:hb3p_exit_probe:600008,FIXED_L40,0.975,-0.05,1.025,success_improvement
square:hb3p_exit_probe:600009,FIXED_L60,0.9625,-0.05,1.0125,success_improvement
square:hb3p_exit_probe:600010,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600011,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600012,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600013,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600014,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600015,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600016,FIXED_L60,0.9625,0.95,0.012500000000000067,success_with_lower_cost
square:hb3p_exit_probe:600017,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600018,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600019,FIXED_L40,0.975,0.95,0.025000000000000022,success_with_lower_cost
square:hb3p_exit_probe:600020,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600021,FIXED_L60,0.9625,0.95,0.012500000000000067,success_with_lower_cost
square:hb3p_exit_probe:600022,FIXED_L40,0.975,0.95,0.025000000000000022,success_with_lower_cost
square:hb3p_exit_probe:600023,FIXED_L60,0.9625,-0.05,1.0125,success_improvement
square:hb3p_exit_probe:600024,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600025,FIXED_L80,0.95,0.95,0.0,no_gain
square:hb3p_exit_probe:600026,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600027,FIXED_L80,0.95,0.95,0.0,no_gain
square:hb3p_exit_probe:600028,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600029,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600030,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600031,FIXED_L80,0.95,0.95,0.0,no_gain
square:hb3p_exit_probe:600032,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600033,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600034,FIXED_L60,0.9625,-0.05,1.0125,success_improvement
square:hb3p_exit_probe:600035,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600036,FIXED_L60,0.9625,0.95,0.012500000000000067,success_with_lower_cost
square:hb3p_exit_probe:600037,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600038,FIXED_L40,-0.025,-0.05,0.025,both_failed_cost_only
square:hb3p_exit_probe:600039,FIXED_L60,0.9625,-0.05,1.0125,success_improvement
