method,transition_f1,responsibility_region_iou,mean_abs_localization_delay,top1_within_1,top5_hit,recovery_retention,innocent_downstream_retention,expert_retention,rare_retention,no_effect_false_attribution_rate,test_delete_rate
future_discount,0.0030388031790556337,0.011985390641535707,56.90384615384615,0.038461538461538464,0.038461538461538464,0.37626628075253254,0.8572397998133854,0.7867783985102421,0.6561232765612328,0.17587939698492464,0.2519778363803372
original_scizor,0.0033097361404799113,0.01076807319998639,59.92307692307692,0.0,0.019230769230769232,0.5412445730824892,0.8374756128594453,0.7034450651769087,0.5072992700729927,0.10552763819095477,0.3207502444516875
uniform,0.0029079521306341577,0.011317208099554376,54.69230769230769,0.038461538461538464,0.07692307692307693,0.3154848046309696,0.8342522690643821,0.7695530726256983,0.6276020546093539,0.1407035175879397,0.26338558179501614
