epoch,steps,train_loss,train_regression_loss,train_classification_loss,train_rank_loss,replacement_auroc,replacement_auprc,score_mae,score_spearman,teacher_forced_primary_auroc
0,84,0.26837466408809024,0.025764141919180042,0.45014825073026477,0.07014558393330801,0.8436740127599935,0.6740220186747831,0.1776603662248471,0.6418546288442409,0.6818181818181818
1,168,0.1781836925517945,0.01594259547779248,0.2980694306038675,0.05282552875134917,0.8350166924660399,0.666379408381244,0.1802403978490055,0.6429296442858888,0.6666666666666666
2,252,0.1528626341550123,0.013323599838518671,0.2573522488985743,0.04345163816053953,0.8310075110279118,0.6512074693107447,0.18293474219748804,0.6495273965533037,0.6944444444444444
3,336,0.14512322780986628,0.013024358289493691,0.24510842614940234,0.0381786259157317,0.8163955390326587,0.6290627865550685,0.18290423552401608,0.6340937121621942,0.6717171717171717
4,420,0.12934203481390363,0.01169129639553527,0.21712441387630643,0.03635412199600112,0.8251777238776646,0.6491660978759171,0.1774933628356681,0.6488777208566276,0.7196969696969697
5,504,0.11918293019490582,0.01136864593718201,0.19883311451190994,0.033590908916223614,0.8156413839968937,0.6280253094969435,0.1761729760399875,0.6462604804077058,0.7070707070707071
6,588,0.12134559825062752,0.011121825647673436,0.20422347067367463,0.032448149363820754,0.8151158787788085,0.6461149852276753,0.18148217713722836,0.6396783794119923,0.7323232323232324
7,672,0.11220663280359336,0.010609179535614592,0.18831601685711316,0.029757777639176874,0.8067119126868292,0.6300601964210609,0.17140379069803588,0.6324501028826522,0.6792929292929293
8,756,0.10550228617198411,0.010147638297418044,0.17521690337785653,0.03098478546321747,0.8157785559857739,0.6326616223130819,0.17849595451028932,0.6385942051082492,0.7676767676767676
9,840,0.09892316881035056,0.009548644856771543,0.16478986505951201,0.02791836581725095,0.8204613346847944,0.6660253066843573,0.1712826787463598,0.6469408511524884,0.7676767676767676
10,924,0.0977358552405522,0.009684127688940083,0.1623308871473585,0.027545137718940776,0.8193166982124945,0.6537514331516044,0.17023917599074373,0.6494089599948936,0.7676767676767676
11,1008,0.09386527733433814,0.009251307723821984,0.15686226849045073,0.024731340086353675,0.8186274816941408,0.6492956779039114,0.17292051230960973,0.6478577024940005,0.7803030303030303
12,1092,0.09599115052038715,0.00943538597563193,0.1605819801666907,0.02505909808955732,0.8175690420409545,0.6407941729609431,0.1827879909094841,0.6493996273283162,0.7651515151515151
