root_id,stat_group_id,role,anchor_t,prefix_verified,prefix_config_hash,prefix_policy_pair_hash,prefix_memory_capture_phase,prefix_env_steps,prefix_action_max_abs,prefix_state_max_abs,prefix_anchor_history_sha256,prefix_initial_state_sha256,branch_trajectory_sha256,oracle_branch,oracle_planned_length,oracle_utility,l80_utility,oracle_minus_l80_utility,oracle_autonomous_completion,oracle_component,none_system_success,none_autonomous_completion,none_helper_completed_task,none_success_seen_under_helper,none_handoff_executed,none_genuine_handoff_success,none_helper_steps_actual,none_changed_action_steps,none_utility,none_first_raw_success_state,none_stable_success_state,none_handoff_state_index,none_raw_return,l5_system_success,l5_autonomous_completion,l5_helper_completed_task,l5_success_seen_under_helper,l5_handoff_executed,l5_genuine_handoff_success,l5_helper_steps_actual,l5_changed_action_steps,l5_utility,l5_first_raw_success_state,l5_stable_success_state,l5_handoff_state_index,l5_raw_return,l20_system_success,l20_autonomous_completion,l20_helper_completed_task,l20_success_seen_under_helper,l20_handoff_executed,l20_genuine_handoff_success,l20_helper_steps_actual,l20_changed_action_steps,l20_utility,l20_first_raw_success_state,l20_stable_success_state,l20_handoff_state_index,l20_raw_return,l80_system_success,l80_autonomous_completion,l80_helper_completed_task,l80_success_seen_under_helper,l80_handoff_executed,l80_genuine_handoff_success,l80_helper_steps_actual,l80_changed_action_steps,l80_first_raw_success_state,l80_stable_success_state,l80_handoff_state_index,l80_raw_return,l5_vs_l80_auto_case,l5_vs_l80_system_case,l5_vs_l80_utility_delta,l20_vs_l80_auto_case,l20_vs_l80_system_case,l20_vs_l80_utility_delta
square:hb2_val:301000,square:hb2_val:301000,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""a8cc0e639969572512ccfbe7ba5dade13be864a13f13252f36ea2fb74306a1f0"",""a8cc0e639969572512ccfbe7ba5dade13be864a13f13252f36ea2fb74306a1f0"",""a8cc0e639969572512ccfbe7ba5dade13be864a13f13252f36ea2fb74306a1f0"",""a8cc0e639969572512ccfbe7ba5dade13be864a13f13252f36ea2fb74306a1f0"",""a8cc0e639969572512ccfbe7ba5dade13be864a13f13252f36ea2fb74306a1f0""]","[""698c4f5c716a36ab86999936095aab07f74f6076eeb2f5430f67c85e5103a537"",""698c4f5c716a36ab86999936095aab07f74f6076eeb2f5430f67c85e5103a537"",""698c4f5c716a36ab86999936095aab07f74f6076eeb2f5430f67c85e5103a537"",""698c4f5c716a36ab86999936095aab07f74f6076eeb2f5430f67c85e5103a537"",""698c4f5c716a36ab86999936095aab07f74f6076eeb2f5430f67c85e5103a537""]","[""d90e687ecb38739829993378235fb8ca0d6ed3d1db6d53e803ade41fb314b428"",""26244bf57ce408fe1478064bb2ec34e2f625b6cbf71d8a07dc430bd23a4cf3b7"",""a241e7f7e73d5f10ec6a376f9bb9dd617245fe94c968729f24030eb821eaf228"",""23c15b1ebd6219f15a00b47d7ee0616ec3435761107b41e9be125db016577381"",""a582becce3819d04c2210403c9f233f4b5ea35de5ada91ea0c79ce28f9ab0100""]",l5,5,-0.003125,-0.05,0.046875,False,both_failed_cost_only,False,False,False,False,False,False,0.0,0.0,0.0,nan,nan,nan,38.13670239927267,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,54.33779766212233,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,69.50761007027837,False,False,False,False,True,False,80.0,80.0,nan,nan,100.0,122.43706030251495,both_failure,both_failure,0.046875,both_failure,both_failure,0.037500000000000006
square:hb2_val:301001,square:hb2_val:301001,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""b0923e2ffe2779dac22d825c52182b859a4d45541059297ad48ea779b3f96987"",""b0923e2ffe2779dac22d825c52182b859a4d45541059297ad48ea779b3f96987"",""b0923e2ffe2779dac22d825c52182b859a4d45541059297ad48ea779b3f96987"",""b0923e2ffe2779dac22d825c52182b859a4d45541059297ad48ea779b3f96987"",""b0923e2ffe2779dac22d825c52182b859a4d45541059297ad48ea779b3f96987""]","[""44e64b02658254b5202ba7533162e1825796658e4e3cff3e7c0ebab6afc8698a"",""44e64b02658254b5202ba7533162e1825796658e4e3cff3e7c0ebab6afc8698a"",""44e64b02658254b5202ba7533162e1825796658e4e3cff3e7c0ebab6afc8698a"",""44e64b02658254b5202ba7533162e1825796658e4e3cff3e7c0ebab6afc8698a"",""44e64b02658254b5202ba7533162e1825796658e4e3cff3e7c0ebab6afc8698a""]","[""ecd40358bfcb3d8c4b031fbd751c5b22c5d1e41230fa95dfded19106380cd2c6"",""69368399b39a6b622d152b6cb4db692f92ada98f92fb1a9bad9c398421f0f3ad"",""6c27b8668abe80c706deeea27d78dca014c492dc8d41d2c67a8900711a922cf7"",""82890e9ae20fccbbdee8a3ed050d825f73a4d2340c6ae97e7ca22483d94e4731"",""0cb474aa2e88daff5adc99417a2b12a04029a600942be0a32e1943353a94e494""]",l80,80,0.95,0.95,0.0,True,no_gain,False,False,False,False,False,False,0.0,0.0,0.0,nan,nan,nan,71.0639573642773,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,163.77397950592368,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,142.93095652734416,True,True,False,False,True,True,80.0,80.0,161.0,165.0,100.0,69.47966908791288,stop_failure_continue_success,stop_failure_continue_success,-0.953125,stop_failure_continue_success,stop_failure_continue_success,-0.9624999999999999
square:hb2_val:301002,square:hb2_val:301002,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""4437e614194463f31bd690836db5ba6d7c662e24ec0c913d4eb6e3feab5f4f16"",""4437e614194463f31bd690836db5ba6d7c662e24ec0c913d4eb6e3feab5f4f16"",""4437e614194463f31bd690836db5ba6d7c662e24ec0c913d4eb6e3feab5f4f16"",""4437e614194463f31bd690836db5ba6d7c662e24ec0c913d4eb6e3feab5f4f16"",""4437e614194463f31bd690836db5ba6d7c662e24ec0c913d4eb6e3feab5f4f16""]","[""e0ba59ebc3035b8a336d503523e68eeda2fba9bbedaeb64181b453eeb57b4518"",""e0ba59ebc3035b8a336d503523e68eeda2fba9bbedaeb64181b453eeb57b4518"",""e0ba59ebc3035b8a336d503523e68eeda2fba9bbedaeb64181b453eeb57b4518"",""e0ba59ebc3035b8a336d503523e68eeda2fba9bbedaeb64181b453eeb57b4518"",""e0ba59ebc3035b8a336d503523e68eeda2fba9bbedaeb64181b453eeb57b4518""]","[""220db745441f407cfa27c84d78bb630b64655af5cd0320371abf3234c86479aa"",""08c73dc6075d01b82b473da8f027fa6accd84c0652ce4992dc22e2400df1f9ea"",""59eccde3ef869d1cd38d21bff181559faa88025582ad60de645487349c69c203"",""d689369c6f231a4adffb2bd664f85a972d895309bc504e12943f1e76dcf0ccf1"",""eb8dc61f9d0b2d723790bdb30b4ef65e9526215453551923fb4892aa94a6a716""]",l5,5,-0.003125,-0.05,0.046875,False,both_failed_cost_only,False,False,False,False,False,False,0.0,0.0,0.0,nan,nan,nan,8.20473452423867,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,19.556640764801557,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,9.19529487354197,False,False,False,False,True,False,80.0,80.0,nan,nan,100.0,111.17530235839193,both_failure,both_failure,0.046875,both_failure,both_failure,0.037500000000000006
square:hb2_val:301003,square:hb2_val:301003,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""364e0435a4006c0a205261c306ef0466519025be8744c1155ab2f0a69e9de0dd"",""364e0435a4006c0a205261c306ef0466519025be8744c1155ab2f0a69e9de0dd"",""364e0435a4006c0a205261c306ef0466519025be8744c1155ab2f0a69e9de0dd"",""364e0435a4006c0a205261c306ef0466519025be8744c1155ab2f0a69e9de0dd"",""364e0435a4006c0a205261c306ef0466519025be8744c1155ab2f0a69e9de0dd""]","[""6f8f1cda599d53d05d58d405d1f042698f986204697f891fe5d4c9b229483ded"",""6f8f1cda599d53d05d58d405d1f042698f986204697f891fe5d4c9b229483ded"",""6f8f1cda599d53d05d58d405d1f042698f986204697f891fe5d4c9b229483ded"",""6f8f1cda599d53d05d58d405d1f042698f986204697f891fe5d4c9b229483ded"",""6f8f1cda599d53d05d58d405d1f042698f986204697f891fe5d4c9b229483ded""]","[""00a7438b5393fcbd9be0b5e7c606252075ff55cd2ccfe868997794a082a742fb"",""88a73d76016efe6aa6d7703649f92c52d9279bb555d7dc86a98eaa25fddf0c92"",""ea7bbfce5ec9282f2226a97f84ce63486133f386ddc73cf3c7b903535cd168bb"",""12b64885bd2bd52b23d372f85eff972d67cb1d1342703d1bbb3775be8296312f"",""6c2f783ec310a81d3dc0e4b973c34a768ef7b1d676dc4a86f06d2cb8ef06ad09""]",l80,80,0.95,0.95,0.0,True,no_gain,False,False,False,False,False,False,0.0,0.0,0.0,nan,nan,nan,31.21391525620923,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,95.64075699862981,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,99.08766599999929,True,True,False,False,True,True,80.0,80.0,355.0,359.0,100.0,114.17682084490934,stop_failure_continue_success,stop_failure_continue_success,-0.953125,stop_failure_continue_success,stop_failure_continue_success,-0.9624999999999999
square:hb2_val:301004,square:hb2_val:301004,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""0eb879bb5b2de952420e43341d5cdfdab04b31e722b650e71e3a6a0c05f58785"",""0eb879bb5b2de952420e43341d5cdfdab04b31e722b650e71e3a6a0c05f58785"",""0eb879bb5b2de952420e43341d5cdfdab04b31e722b650e71e3a6a0c05f58785"",""0eb879bb5b2de952420e43341d5cdfdab04b31e722b650e71e3a6a0c05f58785"",""0eb879bb5b2de952420e43341d5cdfdab04b31e722b650e71e3a6a0c05f58785""]","[""825b8706f04358141b3bdbef850961c82c0257d93ae2576379ee77ec57a53140"",""825b8706f04358141b3bdbef850961c82c0257d93ae2576379ee77ec57a53140"",""825b8706f04358141b3bdbef850961c82c0257d93ae2576379ee77ec57a53140"",""825b8706f04358141b3bdbef850961c82c0257d93ae2576379ee77ec57a53140"",""825b8706f04358141b3bdbef850961c82c0257d93ae2576379ee77ec57a53140""]","[""48434c357e7b73d1c21649eb40c331ef9ad7b19a4cfbd9c5acc70a685d8bf39e"",""b2f84c8494c4d20eea0474b5b2b093be8b9cb1e71302ff8b3034bc6ee1c2eaac"",""c5696eab755b273e5a5142708586dd87a03ec640ae92cc5d91072b6704a1974b"",""4829f739212ee65f22e43f8f70385ff1d99db29ecbb89a739301e28f83ad0393"",""a9fa1ea0d9e9e137ff588d651eca0066b236fc9732ff33b7d692dfe351041bd1""]",l5,5,-0.003125,-0.05,0.046875,False,both_failed_cost_only,False,False,False,False,False,False,0.0,0.0,0.0,nan,nan,nan,3.478946697659115,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,25.50386872003581,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,3.1024509527742907,False,False,False,False,True,False,80.0,80.0,nan,nan,100.0,194.13607963297565,both_failure,both_failure,0.046875,both_failure,both_failure,0.037500000000000006
square:hb2_val:301005,square:hb2_val:301005,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""8ceda2a3640d39df4bff986719c374152509aa5da47d37a14ff84fec16c270a9"",""8ceda2a3640d39df4bff986719c374152509aa5da47d37a14ff84fec16c270a9"",""8ceda2a3640d39df4bff986719c374152509aa5da47d37a14ff84fec16c270a9"",""8ceda2a3640d39df4bff986719c374152509aa5da47d37a14ff84fec16c270a9"",""8ceda2a3640d39df4bff986719c374152509aa5da47d37a14ff84fec16c270a9""]","[""11644951fbe3dd9d6adeaf5688cf741d62dac4c3492878b4cd534f5b6e9a6573"",""11644951fbe3dd9d6adeaf5688cf741d62dac4c3492878b4cd534f5b6e9a6573"",""11644951fbe3dd9d6adeaf5688cf741d62dac4c3492878b4cd534f5b6e9a6573"",""11644951fbe3dd9d6adeaf5688cf741d62dac4c3492878b4cd534f5b6e9a6573"",""11644951fbe3dd9d6adeaf5688cf741d62dac4c3492878b4cd534f5b6e9a6573""]","[""6a1f2f9ce39d072d2aa5edd313f47597c481c6f6dab320cf6756ae2a742a567c"",""fda78d5c0ee7b2547ab57c79cb492c9d344b18561e7769056787a01537d351f8"",""0e40ad99dccca428f9242d3b1b6c802df865c7aa69c07b93a6feb705e996478e"",""e62a15a8b9dc4145d617395cfdd8ccce7b8155ef515ce468fcf2fdbbe8e7c818"",""b0e6fc5a82bbf8e19c4290785c6690d3cee1e311168c8a932ef85fbd49ef14b1""]",l5,5,-0.003125,-0.05,0.046875,False,both_failed_cost_only,False,False,False,False,False,False,0.0,0.0,0.0,nan,nan,nan,5.867409807627746,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,18.73661497732681,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,3.088611156864613,False,False,False,False,True,False,80.0,80.0,nan,nan,100.0,5.522262278641468,both_failure,both_failure,0.046875,both_failure,both_failure,0.037500000000000006
square:hb2_val:301006,square:hb2_val:301006,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""49f700d6c009dadd26e857e688a4739f5ae8504ba89b61eee1722c1515317ac1"",""49f700d6c009dadd26e857e688a4739f5ae8504ba89b61eee1722c1515317ac1"",""49f700d6c009dadd26e857e688a4739f5ae8504ba89b61eee1722c1515317ac1"",""49f700d6c009dadd26e857e688a4739f5ae8504ba89b61eee1722c1515317ac1"",""49f700d6c009dadd26e857e688a4739f5ae8504ba89b61eee1722c1515317ac1""]","[""f67ac7193feb7ec5da38855838ca68d47a5def6c2daaf17bcf5972c340952ebf"",""f67ac7193feb7ec5da38855838ca68d47a5def6c2daaf17bcf5972c340952ebf"",""f67ac7193feb7ec5da38855838ca68d47a5def6c2daaf17bcf5972c340952ebf"",""f67ac7193feb7ec5da38855838ca68d47a5def6c2daaf17bcf5972c340952ebf"",""f67ac7193feb7ec5da38855838ca68d47a5def6c2daaf17bcf5972c340952ebf""]","[""745f970c5a979781d6ccbf8d3ff84a3d500797134d78d799f4e292ebd11a395d"",""db71ee7dd2cd4bef86cfbe37b9c838bbdfb48c3eee0a73fdbb94535feaeb4747"",""44dd98eebc89a40a17cbcc94c11408ac33344854ae07fa13c66a3839bbfaa660"",""38e9065399a785cea4d67dbd6013f6db7b7b77273598b8f928dc3617b7489d63"",""fc51f4191d82af275940181d2bedc532ae13df79427eb206b1d8b7c05a2e5347""]",l5,5,-0.003125,-0.05,0.046875,False,both_failed_cost_only,True,True,False,False,False,False,0.0,0.0,1.0,100.0,104.0,nan,30.11407588511225,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,31.25046487413365,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,30.97419457669159,False,False,False,False,True,False,80.0,80.0,nan,nan,100.0,105.60456951267199,both_failure,both_failure,0.046875,both_failure,both_failure,0.037500000000000006
square:hb2_val:301007,square:hb2_val:301007,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""872d98e969655db4e795b1033bbfb820c2bacdb9415f63c1d3d8b1cb71897d3e"",""872d98e969655db4e795b1033bbfb820c2bacdb9415f63c1d3d8b1cb71897d3e"",""872d98e969655db4e795b1033bbfb820c2bacdb9415f63c1d3d8b1cb71897d3e"",""872d98e969655db4e795b1033bbfb820c2bacdb9415f63c1d3d8b1cb71897d3e"",""872d98e969655db4e795b1033bbfb820c2bacdb9415f63c1d3d8b1cb71897d3e""]","[""16d4ab9b6ace61d803f9c5157dec15b3709b8b04b453ff078bec35dd3697c1ac"",""16d4ab9b6ace61d803f9c5157dec15b3709b8b04b453ff078bec35dd3697c1ac"",""16d4ab9b6ace61d803f9c5157dec15b3709b8b04b453ff078bec35dd3697c1ac"",""16d4ab9b6ace61d803f9c5157dec15b3709b8b04b453ff078bec35dd3697c1ac"",""16d4ab9b6ace61d803f9c5157dec15b3709b8b04b453ff078bec35dd3697c1ac""]","[""98dca38b26c21937e754ada4293ea6f617843b1560680ef803eb7a86dd09f746"",""3c8c0886e6bc495af2baf95a92630385039306e7ab99e77e41f81da532e38022"",""379d4a61321f0b06b84767bc274ef77e407f455538289841e8de340e8569af5d"",""5f35ab5a5a57ea97e1062f9f3893862300e6c97b2ccb7fa0ac415a9e2ddfe630"",""2f49ecdf4b75a53e269dc76ab5a602ab948e76daff0dd35e5cd0873f14a96487""]",l5,5,-0.003125,-0.05,0.046875,False,both_failed_cost_only,False,False,False,False,False,False,0.0,0.0,0.0,nan,nan,nan,99.70786230764115,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,75.35764344395625,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,61.40417351766853,False,False,False,False,True,False,80.0,80.0,nan,nan,100.0,69.81537006124204,both_failure,both_failure,0.046875,both_failure,both_failure,0.037500000000000006
square:hb2_val:301008,square:hb2_val:301008,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""5f799c0201998922d8f596efb1c407c003680ab4a4ca336cf0f4076ea6d6cdaa"",""5f799c0201998922d8f596efb1c407c003680ab4a4ca336cf0f4076ea6d6cdaa"",""5f799c0201998922d8f596efb1c407c003680ab4a4ca336cf0f4076ea6d6cdaa"",""5f799c0201998922d8f596efb1c407c003680ab4a4ca336cf0f4076ea6d6cdaa"",""5f799c0201998922d8f596efb1c407c003680ab4a4ca336cf0f4076ea6d6cdaa""]","[""a370c7f1a32097868b84c8ec24a8688a7dc2f0d1c89e1d4d55deb951754ed1b3"",""a370c7f1a32097868b84c8ec24a8688a7dc2f0d1c89e1d4d55deb951754ed1b3"",""a370c7f1a32097868b84c8ec24a8688a7dc2f0d1c89e1d4d55deb951754ed1b3"",""a370c7f1a32097868b84c8ec24a8688a7dc2f0d1c89e1d4d55deb951754ed1b3"",""a370c7f1a32097868b84c8ec24a8688a7dc2f0d1c89e1d4d55deb951754ed1b3""]","[""077766694d5ef9cca41ac4e270876a7db217c16acd7bc12894793c98ba848cc7"",""5a4d0480220dfa68792e0e6e3d2df714aa184a73b1510a04673fbcf5dbf41b0f"",""fb51c29bfced3709fff54f85fbe06b06eaffb58c96010ed55840f542143ba657"",""72158d5d1ca01766d4d5893ed2b80760acb6451a986a95f53e812d22b98e579c"",""97581262b40fd0f020db14680cad5774bf229837df0f1787120bc675a5bfc7fd""]",l5,5,-0.003125,-0.05,0.046875,False,both_failed_cost_only,False,False,False,False,False,False,0.0,0.0,0.0,nan,nan,nan,121.06832742685327,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,34.97162826563303,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,29.17189695751515,False,False,False,False,True,False,80.0,80.0,nan,nan,100.0,53.689382065313886,both_failure,both_failure,0.046875,both_failure,both_failure,0.037500000000000006
square:hb2_val:301009,square:hb2_val:301009,hb2_val,20,True,839273f7897db14aa088a9f0f50f04cbfcdb2a3f6f13b95d7b3a042ddd2ffed4,a387545caca9faa67c63a4d392c0b96ac1f11019911c1a56b2acac6fe170c125,before_anchor_suggest,20,0.0,0.0,"[""5b7b5fcdee256fdc5ae7d7c4cf310ee7d780c62f3d4b57d8b7c6839ad04e31d0"",""5b7b5fcdee256fdc5ae7d7c4cf310ee7d780c62f3d4b57d8b7c6839ad04e31d0"",""5b7b5fcdee256fdc5ae7d7c4cf310ee7d780c62f3d4b57d8b7c6839ad04e31d0"",""5b7b5fcdee256fdc5ae7d7c4cf310ee7d780c62f3d4b57d8b7c6839ad04e31d0"",""5b7b5fcdee256fdc5ae7d7c4cf310ee7d780c62f3d4b57d8b7c6839ad04e31d0""]","[""5c7ffb97b05e10ddacc4191600815e2a2bc2fb102706ba8c7561a48fbd23a635"",""5c7ffb97b05e10ddacc4191600815e2a2bc2fb102706ba8c7561a48fbd23a635"",""5c7ffb97b05e10ddacc4191600815e2a2bc2fb102706ba8c7561a48fbd23a635"",""5c7ffb97b05e10ddacc4191600815e2a2bc2fb102706ba8c7561a48fbd23a635"",""5c7ffb97b05e10ddacc4191600815e2a2bc2fb102706ba8c7561a48fbd23a635""]","[""6dc8039d39397d86cda2223353531bf5e67b02e3341206876ffd9c8687b4724d"",""aac948b5fc73445953793dd03574f509dad479fefd5be43a35e6235bb0d45cfb"",""f810b99c407ef2c73fb4724fa6148218e0a882a8b5429525bfce0369af1d7c56"",""97a71fbaeb4e253b273030999bf427e116ae027e81a0a0e930edbb05fe93d32f"",""89443605b79d6c6e363a13644710805d1ca4bce5c7567f849619a282c12a4da5""]",l80,80,0.95,0.95,0.0,True,no_gain,False,False,False,False,False,False,0.0,0.0,0.0,nan,nan,nan,110.30056570072263,False,False,False,False,True,False,5.0,5.0,-0.003125,nan,nan,25.0,45.789985519375136,False,False,False,False,True,False,20.0,20.0,-0.0125,nan,nan,40.0,64.17354213117316,True,True,False,False,True,True,80.0,80.0,125.0,129.0,100.0,42.58879736011653,stop_failure_continue_success,stop_failure_continue_success,-0.953125,stop_failure_continue_success,stop_failure_continue_success,-0.9624999999999999
