root_id,stat_group_id,root_seed,method_id,canonical_execution,baseline_system_success,relation_to_none,takeover_t,selected_length,helper_steps_actual,changed_action_steps,utility,system_success,autonomous_completion,genuine_handoff_success,helper_completed_task,success_seen_under_helper,handoff_executed,first_raw_success_state,stable_success_state,handoff_t,first_success_wait_after_handoff,query_count,queried_times,decision_summary,decision_trace_available,query_trace_json,method_vs_s_star_outcome_difference,method_vs_s_star_utility_delta,diagnostic_focus
square:hb3p_test:500001,square:hb3p_test:500001,500001,M1_GRID,M1_GRID,False,no_rescue_or_change,80.0,20,20,20,-0.0125,False,False,False,False,False,True,nan,nan,100.0,nan,2,"[20, 80]",t20:L0;t80:L20,True,"[{""absolute_t"":20,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""fece6d5f8fe63deda845c1bec5870c844bde437bfae58a8d12e4c4da6470d20b"",""inference_seconds"":0.016108531039208174,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.015424519078806043,""probabilities"":{""p0"":0.03446381170758607,""p_full"":0.26500344426240635,""p_genuine_20"":0.011316891955999171,""p_genuine_5"":0.005458390208740733,""p_genuine_80"":0.07733087425401733,""p_helper_20"":0.0012981634223054753,""p_helper_5"":9.943272005720332e-05,""p_helper_80"":0.004332905041934183,""p_sys_20"":0.013027818428894777,""p_sys_5"":0.006151252781681382,""p_sys_80"":0.08424032048744334,""prediction_head_seconds"":0.015424519078806043},""reported_selected_length"":0},{""absolute_t"":80,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""cf8d5b7812f080dc8e3e32aff95f37da86b20b5998458094fb977d3a86fd5faf"",""inference_seconds"":0.001480191946029663,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.0006852670339867473,""probabilities"":{""p0"":0.09798880622598942,""p_full"":0.3114838531455218,""p_genuine_20"":0.15256263562826572,""p_genuine_5"":0.059092826184081224,""p_genuine_80"":0.05960277380628005,""p_helper_20"":0.01754914276375544,""p_helper_5"":0.006624516182046633,""p_helper_80"":0.08965768529875556,""p_sys_20"":0.17867543144678477,""p_sys_5"":0.07964109704610456,""p_sys_80"":0.17991876813226404,""prediction_head_seconds"":0.0006852670339867473},""reported_selected_length"":20}]",True,-0.9624999999999999,m1_vs_s_star_outcome_difference
square:hb3p_test:500001,square:hb3p_test:500001,500001,M4_GRID,M4_GRID,False,no_rescue_or_change,nan,0,0,0,0.0,False,False,False,False,False,False,nan,nan,nan,nan,3,"[20, 80, 160]",t20:L0;t80:L0;t160:L0,True,"[{""absolute_t"":20,""backbone_seconds"":0.25730342289898545,""client_selected_length"":0,""history_sha256"":""fece6d5f8fe63deda845c1bec5870c844bde437bfae58a8d12e4c4da6470d20b"",""inference_seconds"":0.4590835969429463,""ipc_roundtrip_seconds"":0.4014399840962142,""method_id"":""M4_GRID"",""model"":""M4_paired"",""prediction_head_seconds"":0.07309421803802252,""probabilities"":{""p0"":0.034575518864846735,""p_full"":0.19593874950694629,""p_genuine_20"":0.012453995639196356,""p_genuine_5"":0.009240079718027174,""p_genuine_80"":0.08372503517907622,""p_helper_20"":0.0014369548757671375,""p_helper_5"":0.0007753265146546892,""p_helper_80"":0.008058392303880297,""p_sys_20"":0.014139779596282098,""p_sys_5"":0.012040760956171237,""p_sys_80"":0.09485303359238428,""payload_sha256"":""852f2321ff5b96cd231cf14cbd910772cc7c7dbdc078010b3a1685f08a5434e6"",""prediction_head_seconds"":0.07309421803802252,""protocol_hash"":""07ed1213f636ea1db2500798b4468add685249faa7626d6bf39628f0fb5cccc3""},""reported_selected_length"":0},{""absolute_t"":80,""backbone_seconds"":0.013563178014010191,""client_selected_length"":0,""history_sha256"":""cf8d5b7812f080dc8e3e32aff95f37da86b20b5998458094fb977d3a86fd5faf"",""inference_seconds"":0.13702273298986256,""ipc_roundtrip_seconds"":0.10046821204014122,""method_id"":""M4_GRID"",""model"":""M4_paired"",""prediction_head_seconds"":0.000884742010384798,""probabilities"":{""p0"":0.15119535926900265,""p_full"":0.27849920323194094,""p_genuine_20"":0.14040424843700125,""p_genuine_5"":0.06899603917570317,""p_genuine_80"":0.16307994831549866,""p_helper_20"":0.030450381031396658,""p_helper_5"":0.015004128610702673,""p_helper_80"":0.08125190066189916,""p_sys_20"":0.18280380755995873,""p_sys_5"":0.10802483206760571,""p_sys_80"":0.27735536567788144,""payload_sha256"":""61bb1400ce2a62d066e90f2f4ad3594ca56bfe130dbd61b8169c36f50893f7a2"",""prediction_head_seconds"":0.000884742010384798,""protocol_hash"":""07ed1213f636ea1db2500798b4468add685249faa7626d6bf39628f0fb5cccc3""},""reported_selected_length"":0},{""absolute_t"":160,""backbone_seconds"":0.013173106941394508,""client_selected_length"":0,""history_sha256"":""980edbb5d3d929715e9689bc3c4b062ab16cb4f7c4d9202b1f2af717f3af88ee"",""inference_seconds"":0.09580743894912302,""ipc_roundtrip_seconds"":0.060359711991623044,""method_id"":""M4_GRID"",""model"":""M4_paired"",""prediction_head_seconds"":0.0008727560052648187,""probabilities"":{""p0"":0.0323417754772991,""p_full"":0.1719205067164933,""p_genuine_20"":0.014146767257986144,""p_genuine_5"":0.007850374408790332,""p_genuine_80"":0.06580624400877244,""p_helper_20"":0.0018144986661027171,""p_helper_5"":0.0006985821247346987,""p_helper_80"":0.008602932255494175,""p_sys_20"":0.016240307421128586,""p_sys_5"":0.010393998576106678,""p_sys_80"":0.07676918946751277,""payload_sha256"":""351a9d05fcff3a9d668da07eba61d651c5977ce51e9c32509025a703fca21238"",""prediction_head_seconds"":0.0008727560052648187,""protocol_hash"":""07ed1213f636ea1db2500798b4468add685249faa7626d6bf39628f0fb5cccc3""},""reported_selected_length"":0}]",True,-0.95,
square:hb3p_test:500002,square:hb3p_test:500002,500002,NONE,NONE,False,baseline,nan,0,0,0,0.0,False,False,False,False,False,False,nan,nan,nan,nan,0,[],,False,[],False,0.05,
square:hb3p_test:500002,square:hb3p_test:500002,500002,S_STAR,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500002,square:hb3p_test:500002,500002,M0_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500002,square:hb3p_test:500002,500002,RISK_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500002,square:hb3p_test:500002,500002,M1_GRID,M1_GRID,False,no_rescue_or_change,80.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,160.0,nan,2,"[20, 80]",t20:L0;t80:L80,True,"[{""absolute_t"":20,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""c089f83dd052a8c2de98f6a38cd9247c790f87c3a7c240271666f95c08864c4f"",""inference_seconds"":0.0016040209447965026,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.0008827400160953403,""probabilities"":{""p0"":0.036062700793169665,""p_full"":0.1956734765336474,""p_genuine_20"":0.011173662125880114,""p_genuine_5"":0.005983567270192005,""p_genuine_80"":0.06658470718681758,""p_helper_20"":0.0007779298355896277,""p_helper_5"":7.675756695069175e-05,""p_helper_80"":0.002356224029449979,""p_sys_20"":0.012235521291030671,""p_sys_5"":0.006717964718762959,""p_sys_80"":0.07068304007162673,""prediction_head_seconds"":0.0008827400160953403},""reported_selected_length"":0},{""absolute_t"":80,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""7b06ece7ce749c11438dfc4d37dbc8c4c7e9c9be39f1f16f538ad3c1a12dabb1"",""inference_seconds"":0.0013871359406039119,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.0006972829578444362,""probabilities"":{""p0"":0.09952851378615128,""p_full"":0.5050487224935325,""p_genuine_20"":0.03418934230879614,""p_genuine_5"":0.0133127167971593,""p_genuine_80"":0.37988315216514895,""p_helper_20"":0.003822103905323736,""p_helper_5"":0.0005300375927202532,""p_helper_80"":0.006651488156365023,""p_sys_20"":0.039441620709478986,""p_sys_5"":0.015620819777976469,""p_sys_80"":0.3931615775460706,""prediction_head_seconds"":0.0006972829578444362},""reported_selected_length"":80}]",False,0.0,
square:hb3p_test:500002,square:hb3p_test:500002,500002,M4_GRID,M4_GRID,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,1,[20],t20:L80,True,"[{""absolute_t"":20,""backbone_seconds"":0.013609396992251277,""client_selected_length"":80,""history_sha256"":""c089f83dd052a8c2de98f6a38cd9247c790f87c3a7c240271666f95c08864c4f"",""inference_seconds"":0.2132203889777884,""ipc_roundtrip_seconds"":0.08042357093654573,""method_id"":""M4_GRID"",""model"":""M4_paired"",""prediction_head_seconds"":0.00105094606988132,""probabilities"":{""p0"":0.035221148641362734,""p_full"":0.2042950258294137,""p_genuine_20"":0.011416652581997755,""p_genuine_5"":0.009503412306521613,""p_genuine_80"":0.09246433276513509,""p_helper_20"":0.00126864342944089,""p_helper_5"":0.0007762203588381136,""p_helper_80"":0.0075701244971672415,""p_sys_20"":0.012902068637409725,""p_sys_5"":0.012266703941794077,""p_sys_80"":0.10324843113924131,""payload_sha256"":""f1ab8cbb8c61d2378c4fe34101a251e6626a590106c88c7d38f1103cc062130a"",""prediction_head_seconds"":0.00105094606988132,""protocol_hash"":""07ed1213f636ea1db2500798b4468add685249faa7626d6bf39628f0fb5cccc3""},""reported_selected_length"":80}]",False,0.0,
square:hb3p_test:500003,square:hb3p_test:500003,500003,NONE,NONE,False,baseline,nan,0,0,0,0.0,False,False,False,False,False,False,nan,nan,nan,nan,0,[],,False,[],False,0.05,
square:hb3p_test:500003,square:hb3p_test:500003,500003,S_STAR,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500003,square:hb3p_test:500003,500003,M0_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500003,square:hb3p_test:500003,500003,RISK_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500003,square:hb3p_test:500003,500003,M1_GRID,M1_GRID,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,1,[20],t20:L80,True,"[{""absolute_t"":20,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""c706120bf16ffd2b8998fd552da7412c63c657091699d55c01e84feac25642fb"",""inference_seconds"":0.001365134958177805,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.0007449239492416382,""probabilities"":{""p0"":0.062145125705834366,""p_full"":0.2771520838418117,""p_genuine_20"":0.01828590895360107,""p_genuine_5"":0.008632590814980093,""p_genuine_80"":0.1897081359020361,""p_helper_20"":0.0015951363214829815,""p_helper_5"":0.00019597510278828744,""p_helper_80"":0.0038118303912743714,""p_sys_20"":0.020534874086172272,""p_sys_5"":0.009786643404135598,""p_sys_80"":0.1966294466346703,""prediction_head_seconds"":0.0007449239492416382},""reported_selected_length"":80}]",False,0.0,
square:hb3p_test:500003,square:hb3p_test:500003,500003,M4_GRID,M4_GRID,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,1,[20],t20:L80,True,"[{""absolute_t"":20,""backbone_seconds"":0.013109668972902,""client_selected_length"":80,""history_sha256"":""c706120bf16ffd2b8998fd552da7412c63c657091699d55c01e84feac25642fb"",""inference_seconds"":0.18928841198794544,""ipc_roundtrip_seconds"":0.08038171601947397,""method_id"":""M4_GRID"",""model"":""M4_paired"",""prediction_head_seconds"":0.0008909519528970122,""probabilities"":{""p0"":0.04072679547012946,""p_full"":0.21805696772129987,""p_genuine_20"":0.013212579263029682,""p_genuine_5"":0.011428175206126219,""p_genuine_80"":0.1107070535034577,""p_helper_20"":0.0014038137109564557,""p_helper_5"":0.00099777137475285,""p_helper_80"":0.008594687995703672,""p_sys_20"":0.014885893445755194,""p_sys_5"":0.014849463076260783,""p_sys_80"":0.1236655871373753,""payload_sha256"":""3990593dfa690c49329b446b2e544240222a5202a5cf25a8e646543726c54a39"",""prediction_head_seconds"":0.0008909519528970122,""protocol_hash"":""07ed1213f636ea1db2500798b4468add685249faa7626d6bf39628f0fb5cccc3""},""reported_selected_length"":80}]",False,0.0,
square:hb3p_test:500004,square:hb3p_test:500004,500004,NONE,NONE,False,baseline,nan,0,0,0,0.0,False,False,False,False,False,False,nan,nan,nan,nan,0,[],,False,[],False,0.05,
square:hb3p_test:500004,square:hb3p_test:500004,500004,S_STAR,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500004,square:hb3p_test:500004,500004,M0_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500004,square:hb3p_test:500004,500004,RISK_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500004,square:hb3p_test:500004,500004,M1_GRID,M1_GRID,False,no_rescue_or_change,80.0,20,20,20,-0.0125,False,False,False,False,False,True,nan,nan,100.0,nan,2,"[20, 80]",t20:L0;t80:L20,True,"[{""absolute_t"":20,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""c2469e1e017075a64cbb41ad0687e2ad0cf2a35ee22ad953eae1b535d66fd51c"",""inference_seconds"":0.0015009440248832107,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.0008464129641652107,""probabilities"":{""p0"":0.023677311373079584,""p_full"":0.19219630062444448,""p_genuine_20"":0.005923637618055757,""p_genuine_5"":0.0030787263198537567,""p_genuine_80"":0.05354735240602173,""p_helper_20"":0.00047387282701116763,""p_helper_5"":2.905873518259391e-05,""p_helper_80"":0.001846104943990239,""p_sys_20"":0.006545758841013494,""p_sys_5"":0.0033521915018734916,""p_sys_80"":0.05649358699866036,""prediction_head_seconds"":0.0008464129641652107},""reported_selected_length"":0},{""absolute_t"":80,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""5d52abed33f62e6e4ae85c24f63abbb1f137d6a05a11566f4ebbcc875a49455c"",""inference_seconds"":0.0013521489454433322,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.0007059070048853755,""probabilities"":{""p0"":0.13738398984935446,""p_full"":0.30623406835287564,""p_genuine_20"":0.21832179455613113,""p_genuine_5"":0.08685402462022133,""p_genuine_80"":0.03863852469409021,""p_helper_20"":0.02338922168308609,""p_helper_5"":0.011303554145140123,""p_helper_80"":0.17217589915454995,""p_sys_20"":0.2572327665634391,""p_sys_5"":0.11749430044265263,""p_sys_80"":0.26121332742442127,""prediction_head_seconds"":0.0007059070048853755},""reported_selected_length"":20}]",False,0.037500000000000006,
square:hb3p_test:500004,square:hb3p_test:500004,500004,M4_GRID,M4_GRID,False,no_rescue_or_change,nan,0,0,0,0.0,False,False,False,False,False,False,nan,nan,nan,nan,3,"[20, 80, 160]",t20:L0;t80:L0;t160:L0,True,"[{""absolute_t"":20,""backbone_seconds"":0.013328643050044775,""client_selected_length"":0,""history_sha256"":""c2469e1e017075a64cbb41ad0687e2ad0cf2a35ee22ad953eae1b535d66fd51c"",""inference_seconds"":0.13683714100625366,""ipc_roundtrip_seconds"":0.08047178096603602,""method_id"":""M4_GRID"",""model"":""M4_paired"",""prediction_head_seconds"":0.0010667439782992005,""probabilities"":{""p0"":0.03132800438313952,""p_full"":0.18490773072985156,""p_genuine_20"":0.010633936494695548,""p_genuine_5"":0.007572277215132828,""p_genuine_80"":0.07090563454500756,""p_helper_20"":0.0011883626586032432,""p_helper_5"":0.0006064617276556425,""p_helper_80"":0.00669793923931594,""p_sys_20"":0.012011650288328402,""p_sys_5"":0.009829759516212566,""p_sys_80"":0.07999448169383172,""payload_sha256"":""5e8dcd9370affeb8c6f9d7544dee78bdbbc9a8bddb4ac78e9d54f165a3251cd8"",""prediction_head_seconds"":0.0010667439782992005,""protocol_hash"":""07ed1213f636ea1db2500798b4468add685249faa7626d6bf39628f0fb5cccc3""},""reported_selected_length"":0},{""absolute_t"":80,""backbone_seconds"":0.013226679060608149,""client_selected_length"":0,""history_sha256"":""5d52abed33f62e6e4ae85c24f63abbb1f137d6a05a11566f4ebbcc875a49455c"",""inference_seconds"":0.14145803602878004,""ipc_roundtrip_seconds"":0.10045372694730759,""method_id"":""M4_GRID"",""model"":""M4_paired"",""prediction_head_seconds"":0.0009597369935363531,""probabilities"":{""p0"":0.11098346873132912,""p_full"":0.24993428791885774,""p_genuine_20"":0.10580842183349984,""p_genuine_5"":0.04631421198847169,""p_genuine_80"":0.13293753493551708,""p_helper_20"":0.019623384976291937,""p_helper_5"":0.008099396002357288,""p_helper_80"":0.05885936629911556,""p_sys_20"":0.13233342280425986,""p_sys_5"":0.06899184662914648,""p_sys_80"":0.21328669357322205,""payload_sha256"":""e93814bf3af21c17b51359085ef1467b3e7327cc1f86039d00b1e3f20a497803"",""prediction_head_seconds"":0.0009597369935363531,""protocol_hash"":""07ed1213f636ea1db2500798b4468add685249faa7626d6bf39628f0fb5cccc3""},""reported_selected_length"":0},{""absolute_t"":160,""backbone_seconds"":0.013235924998298287,""client_selected_length"":0,""history_sha256"":""99426002fd1858bb5db3ff1141880b535507e52f0277df42496ca32a0b59ad93"",""inference_seconds"":0.17313435999676585,""ipc_roundtrip_seconds"":0.08048737398348749,""method_id"":""M4_GRID"",""model"":""M4_paired"",""prediction_head_seconds"":0.0009757999796420336,""probabilities"":{""p0"":0.03026963919040732,""p_full"":0.1701473340674274,""p_genuine_20"":0.011913879321484428,""p_genuine_5"":0.0070915939219006055,""p_genuine_80"":0.06488792536649537,""p_helper_20"":0.001406886250001802,""p_helper_5"":0.0005743698431202894,""p_helper_80"":0.0072896598470404295,""p_sys_20"":0.013526452932309918,""p_sys_5"":0.00923412992564654,""p_sys_80"":0.07424349858818213,""payload_sha256"":""633bbafca234e28c59322563406e17c2cc6868d07ddeee94e3dc94e696a9865e"",""prediction_head_seconds"":0.0009757999796420336,""protocol_hash"":""07ed1213f636ea1db2500798b4468add685249faa7626d6bf39628f0fb5cccc3""},""reported_selected_length"":0}]",False,0.05,
square:hb3p_test:500005,square:hb3p_test:500005,500005,NONE,NONE,False,baseline,nan,0,0,0,0.0,False,False,False,False,False,False,nan,nan,nan,nan,0,[],,False,[],False,0.05,
square:hb3p_test:500005,square:hb3p_test:500005,500005,S_STAR,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500005,square:hb3p_test:500005,500005,M0_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500005,square:hb3p_test:500005,500005,RISK_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
