root_id,stat_group_id,root_seed,method_id,canonical_execution,baseline_system_success,relation_to_none,takeover_t,selected_length,helper_steps_actual,changed_action_steps,utility,system_success,autonomous_completion,genuine_handoff_success,helper_completed_task,success_seen_under_helper,handoff_executed,first_raw_success_state,stable_success_state,handoff_t,first_success_wait_after_handoff,query_count,queried_times,decision_summary,decision_trace_available,query_trace_json,method_vs_s_star_outcome_difference,method_vs_s_star_utility_delta,diagnostic_focus
square:hb3p_test:500000,square:hb3p_test:500000,500000,NONE,NONE,False,baseline,nan,0,0,0,0.0,False,False,False,False,False,False,nan,nan,nan,nan,0,[],,False,[],False,0.05,
square:hb3p_test:500000,square:hb3p_test:500000,500000,S_STAR,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500000,square:hb3p_test:500000,500000,M0_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500000,square:hb3p_test:500000,500000,RISK_GRID,S_STAR,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,0,[],,False,[],False,0.0,
square:hb3p_test:500000,square:hb3p_test:500000,500000,M1_GRID,M1_GRID,False,no_rescue_or_change,nan,0,0,0,0.0,False,False,False,False,False,False,nan,nan,nan,nan,3,"[20, 80, 160]",t20:L0;t80:L0;t160:L0,True,"[{""absolute_t"":20,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""935330379784c98f8811fd7a140d820481f87550abd1820cbbbf516a97f458d9"",""inference_seconds"":0.016799952019937336,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.016038346104323864,""probabilities"":{""p0"":0.0374176066499101,""p_full"":0.22341306325229898,""p_genuine_20"":0.01194757230230456,""p_genuine_5"":0.0054241003888094,""p_genuine_80"":0.08615030637558671,""p_helper_20"":0.0007562448947802312,""p_helper_5"":7.060648433498428e-05,""p_helper_80"":0.002357677216325127,""p_sys_20"":0.012970303465882793,""p_sys_5"":0.006006705435510407,""p_sys_80"":0.09016276434966275,""prediction_head_seconds"":0.016038346104323864},""reported_selected_length"":0},{""absolute_t"":80,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""dd3016b74f5e78def310fb1ff435f23bcd884dab66a51a86d8a6c8b0e74c3f4b"",""inference_seconds"":0.001328307087533176,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.0007205080473795533,""probabilities"":{""p0"":0.0248628400213887,""p_full"":0.13943866936174631,""p_genuine_20"":0.005108799042704965,""p_genuine_5"":0.0025718273096086326,""p_genuine_80"":0.029771788462339462,""p_helper_20"":0.0004034720380920152,""p_helper_5"":2.5730846070566156e-05,""p_helper_80"":0.0014467480579290252,""p_sys_20"":0.005643801436861384,""p_sys_5"":0.002795395116242605,""p_sys_80"":0.0320525357718896,""prediction_head_seconds"":0.0007205080473795533},""reported_selected_length"":0},{""absolute_t"":160,""backbone_seconds"":0.0,""client_selected_length"":null,""history_sha256"":""d2f7c41873e8e7218fd923aa2156b040108438a67e28956ea7e5c07bfd64f69f"",""inference_seconds"":0.001369034987874329,""ipc_roundtrip_seconds"":0.0,""method_id"":""M1_GRID"",""model"":""M1_proprio"",""prediction_head_seconds"":0.0007411109982058406,""probabilities"":{""p0"":0.020790204295130208,""p_full"":0.08831349601709218,""p_genuine_20"":0.003662307435629435,""p_genuine_5"":0.002109549632372004,""p_genuine_80"":0.014792322137676693,""p_helper_20"":0.00031408073766428166,""p_helper_5"":1.9654473694413784e-05,""p_helper_80"":0.0011473972914673445,""p_sys_20"":0.004073613642238794,""p_sys_5"":0.002295346944952037,""p_sys_80"":0.016536721954774736,""prediction_head_seconds"":0.0007411109982058406},""reported_selected_length"":0}]",False,0.05,m1_no_takeover
square:hb3p_test:500000,square:hb3p_test:500000,500000,M4_GRID,M4_GRID,False,no_rescue_or_change,20.0,80,80,80,-0.05,False,False,False,False,False,True,nan,nan,100.0,nan,1,[20],t20:L80,True,"[{""absolute_t"":20,""backbone_seconds"":0.23907259991392493,""client_selected_length"":80,""history_sha256"":""935330379784c98f8811fd7a140d820481f87550abd1820cbbbf516a97f458d9"",""inference_seconds"":0.9330872839782387,""ipc_roundtrip_seconds"":0.40171195403672755,""method_id"":""M4_GRID"",""model"":""M4_paired"",""prediction_head_seconds"":0.07577764510642737,""probabilities"":{""p0"":0.03609165004050271,""p_full"":0.2027670002105907,""p_genuine_20"":0.012534452931606013,""p_genuine_5"":0.009940714539238733,""p_genuine_80"":0.09149201206681683,""p_helper_20"":0.0013696803916333042,""p_helper_5"":0.0008324241515924914,""p_helper_80"":0.007940687142888234,""p_sys_20"":0.014146150756673137,""p_sys_5"":0.012884385562773049,""p_sys_80"":0.10281394110881792,""payload_sha256"":""dac45133000a435c70c0116995e890c1f2d865e659bc84ca41ec2c99e57e492a"",""prediction_head_seconds"":0.07577764510642737,""protocol_hash"":""07ed1213f636ea1db2500798b4468add685249faa7626d6bf39628f0fb5cccc3""},""reported_selected_length"":80}]",False,0.0,
square:hb3p_test:500001,square:hb3p_test:500001,500001,NONE,NONE,False,baseline,nan,0,0,0,0.0,False,False,False,False,False,False,nan,nan,nan,nan,0,[],,False,[],True,-0.95,
square:hb3p_test:500001,square:hb3p_test:500001,500001,S_STAR,S_STAR,False,genuine_rescue,20.0,80,80,80,0.95,True,True,True,False,False,True,155.0,159.0,100.0,55.0,0,[],,False,[],False,0.0,
square:hb3p_test:500001,square:hb3p_test:500001,500001,M0_GRID,S_STAR,False,genuine_rescue,20.0,80,80,80,0.95,True,True,True,False,False,True,155.0,159.0,100.0,55.0,0,[],,False,[],False,0.0,
square:hb3p_test:500001,square:hb3p_test:500001,500001,RISK_GRID,S_STAR,False,genuine_rescue,20.0,80,80,80,0.95,True,True,True,False,False,True,155.0,159.0,100.0,55.0,0,[],,False,[],False,0.0,
