branch_path,cache_path,cached_frames,failure,image_origin,length,max_post_state_abs,max_pre_state_abs,max_reward_abs,reconstruction_verified,schema_version,seed,state_atol,success_mismatch_count
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L60/square__hb3p_stop_continue_formal__800012.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800012/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.963128364896761e-08,True,hb4_reconstruction_audit_row_v1,800012,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L80/square__hb3p_stop_continue_formal__800012.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800012/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.7857783191365115e-08,True,hb4_reconstruction_audit_row_v1,800012,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L60/square__hb3p_stop_continue_formal__800018.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800018/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.8234645621516563e-08,True,hb4_reconstruction_audit_row_v1,800018,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L80/square__hb3p_stop_continue_formal__800018.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800018/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.979359692290018e-08,True,hb4_reconstruction_audit_row_v1,800018,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard1/FIXED_L60/square__hb3p_stop_continue_formal__800022.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800022/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.968470469433271e-08,True,hb4_reconstruction_audit_row_v1,800022,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard1/FIXED_L80/square__hb3p_stop_continue_formal__800022.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800022/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9484569119553328e-08,True,hb4_reconstruction_audit_row_v1,800022,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard3/FIXED_L60/square__hb3p_stop_continue_formal__800024.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800024/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.963259693178344e-08,True,hb4_reconstruction_audit_row_v1,800024,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard3/FIXED_L80/square__hb3p_stop_continue_formal__800024.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800024/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.8934895923704573e-08,True,hb4_reconstruction_audit_row_v1,800024,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L60/square__hb3p_stop_continue_formal__800025.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800025/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9775903187534425e-08,True,hb4_reconstruction_audit_row_v1,800025,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L80/square__hb3p_stop_continue_formal__800025.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800025/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.959239153721427e-08,True,hb4_reconstruction_audit_row_v1,800025,1e-10,0
