branch_path,cache_path,cached_frames,failure,image_origin,length,max_post_state_abs,max_pre_state_abs,max_reward_abs,reconstruction_verified,schema_version,seed,state_atol,success_mismatch_count
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard3/FIXED_L60/square__hb3p_stop_continue_formal__800038.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800038/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.961783251986816e-08,True,hb4_reconstruction_audit_row_v1,800038,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard3/FIXED_L80/square__hb3p_stop_continue_formal__800038.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800038/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.797975662272023e-08,True,hb4_reconstruction_audit_row_v1,800038,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L60/square__hb3p_stop_continue_formal__800053.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800053/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.930888953756039e-08,True,hb4_reconstruction_audit_row_v1,800053,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L80/square__hb3p_stop_continue_formal__800053.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800053/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9346766461380014e-08,True,hb4_reconstruction_audit_row_v1,800053,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L60/square__hb3p_stop_continue_formal__800054.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800054/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.924349162825024e-08,True,hb4_reconstruction_audit_row_v1,800054,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L80/square__hb3p_stop_continue_formal__800054.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800054/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.6514388573595227e-08,True,hb4_reconstruction_audit_row_v1,800054,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L60/square__hb3p_stop_continue_formal__800055.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800055/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.913941754556504e-08,True,hb4_reconstruction_audit_row_v1,800055,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L80/square__hb3p_stop_continue_formal__800055.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800055/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9434348514101316e-08,True,hb4_reconstruction_audit_row_v1,800055,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L60/square__hb3p_stop_continue_formal__800056.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800056/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9314227267818183e-08,True,hb4_reconstruction_audit_row_v1,800056,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L80/square__hb3p_stop_continue_formal__800056.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800056/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.918426000864116e-08,True,hb4_reconstruction_audit_row_v1,800056,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L60/square__hb3p_stop_continue_formal__800061.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800061/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9654732891515323e-08,True,hb4_reconstruction_audit_row_v1,800061,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L80/square__hb3p_stop_continue_formal__800061.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800061/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.901801154919781e-08,True,hb4_reconstruction_audit_row_v1,800061,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L60/square__hb3p_stop_continue_formal__800069.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800069/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9547544411201443e-08,True,hb4_reconstruction_audit_row_v1,800069,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L80/square__hb3p_stop_continue_formal__800069.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800069/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,1.4810515758245657e-08,True,hb4_reconstruction_audit_row_v1,800069,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L60/square__hb3p_stop_continue_formal__800070.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800070/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.89286122834298e-08,True,hb4_reconstruction_audit_row_v1,800070,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L80/square__hb3p_stop_continue_formal__800070.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800070/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.7404187474822095e-08,True,hb4_reconstruction_audit_row_v1,800070,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L60/square__hb3p_stop_continue_formal__800074.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800074/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.927269859842596e-08,True,hb4_reconstruction_audit_row_v1,800074,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L80/square__hb3p_stop_continue_formal__800074.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800074/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.932907405828189e-08,True,hb4_reconstruction_audit_row_v1,800074,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L60/square__hb3p_stop_continue_formal__800075.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800075/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9456144190476152e-08,True,hb4_reconstruction_audit_row_v1,800075,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L80/square__hb3p_stop_continue_formal__800075.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800075/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9234559328905618e-08,True,hb4_reconstruction_audit_row_v1,800075,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L60/square__hb3p_stop_continue_formal__800077.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800077/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9717519556271554e-08,True,hb4_reconstruction_audit_row_v1,800077,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L80/square__hb3p_stop_continue_formal__800077.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800077/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9756383135293163e-08,True,hb4_reconstruction_audit_row_v1,800077,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L60/square__hb3p_stop_continue_formal__800084.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800084/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.96468058991195e-08,True,hb4_reconstruction_audit_row_v1,800084,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L80/square__hb3p_stop_continue_formal__800084.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800084/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.896230011373291e-08,True,hb4_reconstruction_audit_row_v1,800084,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L60/square__hb3p_stop_continue_formal__800105.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800105/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.420090328136837e-08,True,hb4_reconstruction_audit_row_v1,800105,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L80/square__hb3p_stop_continue_formal__800105.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800105/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9183531702337007e-08,True,hb4_reconstruction_audit_row_v1,800105,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L60/square__hb3p_stop_continue_formal__800109.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800109/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9389264355472733e-08,True,hb4_reconstruction_audit_row_v1,800109,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L80/square__hb3p_stop_continue_formal__800109.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800109/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.950409139224064e-08,True,hb4_reconstruction_audit_row_v1,800109,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L60/square__hb3p_stop_continue_formal__800123.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800123/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.979668889402376e-08,True,hb4_reconstruction_audit_row_v1,800123,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard4/FIXED_L80/square__hb3p_stop_continue_formal__800123.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800123/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9727210137941995e-08,True,hb4_reconstruction_audit_row_v1,800123,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L60/square__hb3p_stop_continue_formal__800125.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800125/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9243103161213924e-08,True,hb4_reconstruction_audit_row_v1,800125,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L80/square__hb3p_stop_continue_formal__800125.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800125/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9482640218070344e-08,True,hb4_reconstruction_audit_row_v1,800125,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard1/FIXED_L60/square__hb3p_stop_continue_formal__800148.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800148/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.915014196691601e-08,True,hb4_reconstruction_audit_row_v1,800148,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard1/FIXED_L80/square__hb3p_stop_continue_formal__800148.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800148/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.971957702158079e-08,True,hb4_reconstruction_audit_row_v1,800148,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard3/FIXED_L60/square__hb3p_stop_continue_formal__800171.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800171/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.803582421773143e-08,True,hb4_reconstruction_audit_row_v1,800171,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard3/FIXED_L80/square__hb3p_stop_continue_formal__800171.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800171/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9718666860745202e-08,True,hb4_reconstruction_audit_row_v1,800171,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard3/FIXED_L60/square__hb3p_stop_continue_formal__800178.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800178/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.958869871338976e-08,True,hb4_reconstruction_audit_row_v1,800178,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard3/FIXED_L80/square__hb3p_stop_continue_formal__800178.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800178/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9649453558988625e-08,True,hb4_reconstruction_audit_row_v1,800178,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L60/square__hb3p_stop_continue_formal__800188.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800188/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.95326599841772e-08,True,hb4_reconstruction_audit_row_v1,800188,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L80/square__hb3p_stop_continue_formal__800188.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800188/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.875587079564923e-08,True,hb4_reconstruction_audit_row_v1,800188,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L60/square__hb3p_stop_continue_formal__800189.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800189/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9651964883470328e-08,True,hb4_reconstruction_audit_row_v1,800189,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L80/square__hb3p_stop_continue_formal__800189.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800189/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.8862686574093743e-08,True,hb4_reconstruction_audit_row_v1,800189,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L60/square__hb3p_stop_continue_formal__800196.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800196/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.8915845717847333e-08,True,hb4_reconstruction_audit_row_v1,800196,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L80/square__hb3p_stop_continue_formal__800196.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800196/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9607872931158852e-08,True,hb4_reconstruction_audit_row_v1,800196,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L60/square__hb3p_stop_continue_formal__800202.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800202/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9174202276216477e-08,True,hb4_reconstruction_audit_row_v1,800202,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard6/FIXED_L80/square__hb3p_stop_continue_formal__800202.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800202/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9747322605189197e-08,True,hb4_reconstruction_audit_row_v1,800202,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L60/square__hb3p_stop_continue_formal__800217.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800217/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.875514848454941e-08,True,hb4_reconstruction_audit_row_v1,800217,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard0/FIXED_L80/square__hb3p_stop_continue_formal__800217.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800217/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9564832360051696e-08,True,hb4_reconstruction_audit_row_v1,800217,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard1/FIXED_L60/square__hb3p_stop_continue_formal__800218.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800218/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.8629548398662052e-08,True,hb4_reconstruction_audit_row_v1,800218,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard1/FIXED_L80/square__hb3p_stop_continue_formal__800218.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800218/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.9338090290487173e-08,True,hb4_reconstruction_audit_row_v1,800218,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L60/square__hb3p_stop_continue_formal__800250.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800250/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.9491427189221042e-08,True,hb4_reconstruction_audit_row_v1,800250,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard5/FIXED_L80/square__hb3p_stop_continue_formal__800250.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800250/FIXED_L80.npz,80,,RECONSTRUCTED_FOR_HB4,80,0.0,0.0,2.8631488957486795e-08,True,hb4_reconstruction_audit_row_v1,800250,1e-10,0
/home/__compress_data/xushijie/work/cr_scizor/experiments/handback/hb3p_stop_continue_formal_v1/episodes/shard2/FIXED_L60/square__hb3p_stop_continue_formal__800254.npz,/home/__compress_data/xushijie/work/cr_scizor_hb4_runs/hb4_square_absorb_v1/observations/800254/FIXED_L60.npz,80,,RECONSTRUCTED_FOR_HB4,60,0.0,0.0,2.8863490375563572e-08,True,hb4_reconstruction_audit_row_v1,800254,1e-10,0
