method,transition_f1,responsibility_region_iou,mean_abs_localization_delay,top1_within_1,top5_hit,recovery_retention,innocent_downstream_retention,expert_retention,rare_retention,no_effect_false_attribution_rate,test_delete_rate
canonical_responsibility,0.009390589846424728,0.06297828382093663,32.32692307692308,0.38461538461538464,0.6346153846153846,0.6439942112879884,0.720417338196624,0.6941340782122905,0.6670721816707218,0.8592964824120602,0.30137189250051855
responsibility_seed0,0.009763190693809721,0.07198572504348161,52.46153846153846,0.21153846153846154,0.4807692307692308,0.6714905933429812,0.7506149800661633,0.7267225325884544,0.6112462827791295,0.7788944723618091,0.2837417404960147
responsibility_seed1,0.009390589846424728,0.06297828382093663,32.32692307692308,0.38461538461538464,0.6346153846153846,0.6439942112879884,0.720417338196624,0.6941340782122905,0.6670721816707218,0.8592964824120602,0.30137189250051855
responsibility_seed2,0.008187967248131008,0.0549166716806162,39.11538461538461,0.25,0.5769230769230769,0.5991316931982634,0.6949698871829671,0.6652700186219739,0.6116517977831847,0.7738693467336684,0.33138759666953094
action_only_seed0,0.009655033692044655,0.05939284352013884,20.98076923076923,0.5384615384615384,0.6538461538461539,0.6570188133140377,0.7171939944015607,0.6945996275605214,0.6657204649905379,0.8341708542713567,0.293075350380752
future_discount,0.0030388031790556337,0.011985390641535707,56.90384615384615,0.038461538461538464,0.038461538461538464,0.37626628075253254,0.8572397998133854,0.7867783985102421,0.6561232765612328,0.17587939698492464,0.2519778363803372
original_scizor,0.0033097361404799113,0.01076807319998639,59.92307692307692,0.0,0.019230769230769232,0.5412445730824892,0.8374756128594453,0.7034450651769087,0.5072992700729927,0.10552763819095477,0.3207502444516875
uniform,0.0029079521306341577,0.011317208099554376,54.69230769230769,0.038461538461538464,0.07692307692307693,0.3154848046309696,0.8342522690643821,0.7695530726256983,0.6276020546093539,0.1407035175879397,0.26338558179501614
