seed,best_epoch,validation_top1_within_1,validation_iou,validation_f1,test_top1_within_1,test_top5_hit,test_iou,test_f1,test_mean_abs_delay,test_recovery_retention,test_no_effect_far
0,3.0,0.06818181818181818,0.05190189216399433,0.008074534161490683,0.21153846153846154,0.4807692307692308,0.07198572504348161,0.009763190693809721,52.46153846153846,0.6714905933429812,0.7788944723618091
1,10.0,0.4090909090909091,0.053664118295087944,0.008281573498964802,0.38461538461538464,0.6346153846153846,0.06297828382093663,0.009390589846424728,32.32692307692308,0.6439942112879884,0.8592964824120602
2,5.0,0.22727272727272727,0.05639132791530137,0.008074534161490683,0.25,0.5769230769230769,0.0549166716806162,0.008187967248131008,39.11538461538461,0.5991316931982634,0.7738693467336684
full_mean,6.0,0.23484848484848486,0.05398577945812788,0.008143547273982055,0.28205128205128205,0.5641025641025641,0.06329356018167814,0.009113915929455152,41.30128205128205,0.638205499276411,0.8040201005025125
full_std,2.943920288775949,0.1392786084155321,0.0018468636060692371,9.759927966687974e-05,0.07420408271019377,0.06345830087571579,0.006971977006264364,0.0006721823007698856,8.363982100721913,0.029822636789336672,0.03914010534521913
