root_id,shared_t20_verified,helper_predecision_t80_verified,state_hash_t20,action_hash_t20
square:hb3p_stop_continue_test:700000,True,True,992a5af44b669b46a20c3016741d83aabc815c0e8051436e1b341680e3fed2e9,af87482d2602787b3baf3ad3cf3a759dffd2cf090c6780eb3ba964ca26c268e4
square:hb3p_stop_continue_test:700001,True,True,0236b87c5f6ed9fc473d69360ed149a28a5f5f8f299e8fb0d803561ad6b1c33e,31f5de03cdb6ecf9de46bee58874fef61a82f0cb460b0555ab0028da24963e49
square:hb3p_stop_continue_test:700002,True,True,3c765ac7a61a6173effdbd6c5745dd1d151b58f925ec6e6655a584164984d74d,1378ee86fbe99ad4eab91c87ab051d22dd96b367980ca56694ae68b6db36297b
square:hb3p_stop_continue_test:700003,True,True,5b5597eb37a6760f01658fd2f2bddf024b6937859253fc72f316c3e2101d61c9,da477495c37ae562c509ebeadd3b9e0bed8df83878f2ce48c926398757a7651c
square:hb3p_stop_continue_test:700004,True,True,ba718006e00b6a517d4f74176542633dc04afaa2b86baa3bf458dee0b7e4357e,f26cce9ee0b3a54ec0b329ed7ec322cfd96cdf7cc9149043bef8c3eb4209a3d0
square:hb3p_stop_continue_test:700005,True,True,3aee69ef03ec4a5a3aef57a72f46a30f57f234255d81bc495307524deb907233,ab25870c00cd2f75491b59c1099be0fb99a1e65b049fcbfcceede48fa0e590ef
square:hb3p_stop_continue_test:700006,True,True,2a8a76eb3b84d61e975203e4830b53dcefc9ae7d91de43ebd6d529933f873c8e,d95c22b9ccbb19339441a61768dcdf9f165739f7eca35ed95fdc053a600c40ab
square:hb3p_stop_continue_test:700007,True,True,40ec00094339f735c9c3ea4173abeec6bc7298aa40b84d03fc0e972ad892321e,7ca291f028d3923aace23b42fc895f58bd50616198a4536c196806cd303840e4
square:hb3p_stop_continue_test:700008,True,True,485ab7e2286f2529b66f9d4ce87965fee164522afb8fe4a12cf6c45c4bec3790,5442223b6da9e8dbb77572f2b18e600c43d76227845cddc6f839958bf24874b7
square:hb3p_stop_continue_test:700009,True,True,eff6380cdfce6a8ac4110582ed9f3eb832c3c5e54019518a02b27c219098803f,5cb43a6e441c1b52882a3391831928cf2aa24aa86a2e4550ba5acce6189bf687
