method,video,case_type,pair_id,abs_delay,responsible_deleted,recovery_deleted,innocent_deleted
original_scizor,original_scizor__innocent_false_delete__square_demo_102_zero_motion_t43_m0_50.mp4,innocent_false_delete,square:demo_102:zero_motion:t43:m0.50,,,,86.0
uniform,uniform__accurate__square_demo_115_zero_motion_t139_m0_50.mp4,accurate,square:demo_115:zero_motion:t139:m0.50,0.0,True,,
uniform,uniform__accurate__can_demo_128_axis_impulse_t94_m1_00.mp4,accurate,can:demo_128:axis_impulse:t94:m1.00,1.0,False,,
uniform,uniform__accurate__can_demo_109_reverse_motion_t108_m1_00.mp4,accurate,can:demo_109:reverse_motion:t108:m1.00,2.0,True,,
uniform,uniform__accurate__can_demo_128_flip_gripper_t94_m1_00.mp4,accurate,can:demo_128:flip_gripper:t94:m1.00,2.0,True,,
uniform,uniform__accurate__square_demo_115_axis_impulse_t139_m0_25.mp4,accurate,square:demo_115:axis_impulse:t139:m0.25,2.0,True,,
uniform,uniform__responsible_miss__square_demo_102_zero_motion_t43_m0_50.mp4,responsible_miss,square:demo_102:zero_motion:t43:m0.50,127.0,False,,
uniform,uniform__responsible_miss__can_demo_125_flip_gripper_t121_m1_00.mp4,responsible_miss,can:demo_125:flip_gripper:t121:m1.00,118.0,False,,
uniform,uniform__responsible_miss__square_demo_102_axis_impulse_t43_m0_25.mp4,responsible_miss,square:demo_102:axis_impulse:t43:m0.25,118.0,False,,
uniform,uniform__responsible_miss__square_demo_102_axis_impulse_t63_m0_25.mp4,responsible_miss,square:demo_102:axis_impulse:t63:m0.25,107.0,False,,
uniform,uniform__responsible_miss__square_demo_102_reverse_motion_t63_m0_25.mp4,responsible_miss,square:demo_102:reverse_motion:t63:m0.25,106.0,False,,
uniform,uniform__recovery_false_delete__square_demo_115_zero_motion_t75_m0_50.mp4,recovery_false_delete,square:demo_115:zero_motion:t75:m0.50,,,74.0,
uniform,uniform__recovery_false_delete__square_demo_115_flip_gripper_t75_m0_50.mp4,recovery_false_delete,square:demo_115:flip_gripper:t75:m0.50,,,71.0,
uniform,uniform__recovery_false_delete__square_demo_115_reverse_motion_t85_m0_25.mp4,recovery_false_delete,square:demo_115:reverse_motion:t85:m0.25,,,64.0,
uniform,uniform__recovery_false_delete__can_demo_128_reverse_motion_t59_m1_00.mp4,recovery_false_delete,can:demo_128:reverse_motion:t59:m1.00,,,34.0,
uniform,uniform__recovery_false_delete__can_demo_128_reverse_motion_t49_m1_00.mp4,recovery_false_delete,can:demo_128:reverse_motion:t49:m1.00,,,33.0,
uniform,uniform__innocent_false_delete__square_demo_126_axis_impulse_t5_m0_25.mp4,innocent_false_delete,square:demo_126:axis_impulse:t5:m0.25,,,,58.0
uniform,uniform__innocent_false_delete__square_demo_126_flip_gripper_t5_m0_50.mp4,innocent_false_delete,square:demo_126:flip_gripper:t5:m0.50,,,,58.0
uniform,uniform__innocent_false_delete__square_demo_126_zero_motion_t5_m0_50.mp4,innocent_false_delete,square:demo_126:zero_motion:t5:m0.50,,,,58.0
uniform,uniform__innocent_false_delete__square_demo_126_reverse_motion_t5_m0_25.mp4,innocent_false_delete,square:demo_126:reverse_motion:t5:m0.25,,,,54.0
uniform,uniform__innocent_false_delete__square_demo_102_axis_impulse_t63_m0_25.mp4,innocent_false_delete,square:demo_102:axis_impulse:t63:m0.25,,,,50.0
